prn_1.IQI.bin S3FIFO-0.0100-0.9000 cache size     6520, 11233411 req, miss ratio 0.7966, byte miss ratio 0.7966
prn_1.IQI.bin S3FIFO-0.0100-0.9000 cache size    21735, 11233411 req, miss ratio 0.7333, byte miss ratio 0.7333
prn_1.IQI.bin S3FIFO-0.0100-0.9000 cache size    65207, 11233411 req, miss ratio 0.5677, byte miss ratio 0.5677
prn_1.IQI.bin S3FIFO-0.0100-0.9000 cache size   217357, 11233411 req, miss ratio 0.3823, byte miss ratio 0.3823
prn_1.IQI.bin S3FIFO-0.0100-0.9000 cache size   434715, 11233411 req, miss ratio 0.2330, byte miss ratio 0.2330
prn_1.IQI.bin S3FIFO-0.0100-0.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.0100-0.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.3500-0.9000 cache size     2173, 11233411 req, miss ratio 0.7972, byte miss ratio 0.7972
prn_1.IQI.bin S3FIFO-0.3500-0.9000 cache size     6520, 11233411 req, miss ratio 0.7475, byte miss ratio 0.7475
prn_1.IQI.bin S3FIFO-0.3500-0.9000 cache size    21735, 11233411 req, miss ratio 0.6965, byte miss ratio 0.6965
prn_1.IQI.bin S3FIFO-0.3500-0.9000 cache size    65207, 11233411 req, miss ratio 0.5888, byte miss ratio 0.5888
prn_1.IQI.bin S3FIFO-0.3500-0.9000 cache size   217357, 11233411 req, miss ratio 0.4098, byte miss ratio 0.4098
prn_1.IQI.bin S3FIFO-0.3500-0.9000 cache size   434715, 11233411 req, miss ratio 0.2812, byte miss ratio 0.2812
prn_1.IQI.bin S3FIFO-0.3500-0.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.3500-0.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.0500-1.9000 cache size     2173, 11233411 req, miss ratio 0.8257, byte miss ratio 0.8257
prn_1.IQI.bin S3FIFO-0.0500-1.9000 cache size     6520, 11233411 req, miss ratio 0.7764, byte miss ratio 0.7764
prn_1.IQI.bin S3FIFO-0.0500-1.9000 cache size    21735, 11233411 req, miss ratio 0.7018, byte miss ratio 0.7018
prn_1.IQI.bin S3FIFO-0.0500-1.9000 cache size    65207, 11233411 req, miss ratio 0.5619, byte miss ratio 0.5619
prn_1.IQI.bin S3FIFO-0.0500-1.9000 cache size   217357, 11233411 req, miss ratio 0.3879, byte miss ratio 0.3879
prn_1.IQI.bin S3FIFO-0.0500-1.9000 cache size   434715, 11233411 req, miss ratio 0.2419, byte miss ratio 0.2419
prn_1.IQI.bin S3FIFO-0.0500-1.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.0500-1.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.3000-0.9000 cache size     2173, 11233411 req, miss ratio 0.7997, byte miss ratio 0.7997
prn_1.IQI.bin S3FIFO-0.3000-0.9000 cache size     6520, 11233411 req, miss ratio 0.7485, byte miss ratio 0.7485
prn_1.IQI.bin S3FIFO-0.3000-0.9000 cache size    21735, 11233411 req, miss ratio 0.6953, byte miss ratio 0.6953
prn_1.IQI.bin S3FIFO-0.3000-0.9000 cache size    65207, 11233411 req, miss ratio 0.5827, byte miss ratio 0.5827
prn_1.IQI.bin S3FIFO-0.3000-0.9000 cache size   217357, 11233411 req, miss ratio 0.4038, byte miss ratio 0.4038
prn_1.IQI.bin S3FIFO-0.3000-0.9000 cache size   434715, 11233411 req, miss ratio 0.2768, byte miss ratio 0.2768
