cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size    12141, 2252816 req, miss ratio 0.0206, byte miss ratio 0.0206
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.9000-0.9000 cache size    24282, 2252816 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size       30, 2252816 req, miss ratio 0.0781, byte miss ratio 0.0781
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size       91, 2252816 req, miss ratio 0.0651, byte miss ratio 0.0651
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size      303, 2252816 req, miss ratio 0.0449, byte miss ratio 0.0449
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size      910, 2252816 req, miss ratio 0.0385, byte miss ratio 0.0385
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     3035, 2252816 req, miss ratio 0.0289, byte miss ratio 0.0289
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size     6070, 2252816 req, miss ratio 0.0224, byte miss ratio 0.0224
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size    12141, 2252816 req, miss ratio 0.0180, byte miss ratio 0.0180
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.1000-1.9000 cache size    24282, 2252816 req, miss ratio 0.0138, byte miss ratio 0.0138
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size       30, 2252816 req, miss ratio 0.0769, byte miss ratio 0.0769
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size       91, 2252816 req, miss ratio 0.0659, byte miss ratio 0.0659
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size      303, 2252816 req, miss ratio 0.0485, byte miss ratio 0.0485
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size      910, 2252816 req, miss ratio 0.0386, byte miss ratio 0.0386
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     3035, 2252816 req, miss ratio 0.0305, byte miss ratio 0.0305
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size     6070, 2252816 req, miss ratio 0.0235, byte miss ratio 0.0235
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size    12141, 2252816 req, miss ratio 0.0184, byte miss ratio 0.0184
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4500-0.9000 cache size    24282, 2252816 req, miss ratio 0.0138, byte miss ratio 0.0138
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size       30, 2252816 req, miss ratio 0.0767, byte miss ratio 0.0767
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size       91, 2252816 req, miss ratio 0.0657, byte miss ratio 0.0657
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size      303, 2252816 req, miss ratio 0.0478, byte miss ratio 0.0478
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size      910, 2252816 req, miss ratio 0.0386, byte miss ratio 0.0386
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size     3035, 2252816 req, miss ratio 0.0297, byte miss ratio 0.0297
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size     6070, 2252816 req, miss ratio 0.0230, byte miss ratio 0.0230
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    12141, 2252816 req, miss ratio 0.0183, byte miss ratio 0.0183
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    24282, 2252816 req, miss ratio 0.0138, byte miss ratio 0.0138
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size       30, 2252816 req, miss ratio 0.0776, byte miss ratio 0.0776
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size       91, 2252816 req, miss ratio 0.0663, byte miss ratio 0.0663
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size      303, 2252816 req, miss ratio 0.0498, byte miss ratio 0.0498
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size      910, 2252816 req, miss ratio 0.0392, byte miss ratio 0.0392
cdn2_sjc.ns792.oracleGeneral.bin.zst S3FIFO-0.5000-1.9000 cache size     3035, 2252816 req, miss ratio 0.0311, byte miss ratio 0.0311
