io_traces.ns659 S3FIFO-0.8500-0.9000 cache size     4191, 2200000 req, miss ratio 0.4644, byte miss ratio 0.4644
io_traces.ns659 S3FIFO-0.8500-0.9000 cache size    13971, 2200000 req, miss ratio 0.3890, byte miss ratio 0.3890
io_traces.ns659 S3FIFO-0.8500-0.9000 cache size    27943, 2200000 req, miss ratio 0.3264, byte miss ratio 0.3264
io_traces.ns659 S3FIFO-0.8500-0.9000 cache size    55886, 2200000 req, miss ratio 0.1750, byte miss ratio 0.1750
io_traces.ns659 S3FIFO-0.8500-0.9000 cache size   111773, 2200000 req, miss ratio 0.0808, byte miss ratio 0.0808
io_traces.ns659 S3FIFO-0.0250-0.9000 cache size      139, 2200000 req, miss ratio 0.5410, byte miss ratio 0.5410
io_traces.ns659 S3FIFO-0.0250-0.9000 cache size      419, 2200000 req, miss ratio 0.5016, byte miss ratio 0.5016
io_traces.ns659 S3FIFO-0.0250-0.9000 cache size     1397, 2200000 req, miss ratio 0.4868, byte miss ratio 0.4868
io_traces.ns659 S3FIFO-0.0250-0.9000 cache size     4191, 2200000 req, miss ratio 0.4409, byte miss ratio 0.4409
io_traces.ns659 S3FIFO-0.0250-0.9000 cache size    13971, 2200000 req, miss ratio 0.3799, byte miss ratio 0.3799
io_traces.ns659 S3FIFO-0.0250-0.9000 cache size    27943, 2200000 req, miss ratio 0.2806, byte miss ratio 0.2806
io_traces.ns659 S3FIFO-0.0250-0.9000 cache size    55886, 2200000 req, miss ratio 0.1304, byte miss ratio 0.1304
io_traces.ns659 S3FIFO-0.0250-0.9000 cache size   111773, 2200000 req, miss ratio 0.0703, byte miss ratio 0.0703
io_traces.ns659 S3FIFO-0.6500-1.9000 cache size      139, 2200000 req, miss ratio 0.5020, byte miss ratio 0.5020
io_traces.ns659 S3FIFO-0.6500-1.9000 cache size      419, 2200000 req, miss ratio 0.4912, byte miss ratio 0.4912
io_traces.ns659 S3FIFO-0.6500-1.9000 cache size     1397, 2200000 req, miss ratio 0.4864, byte miss ratio 0.4864
