w89.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   154142, 3625918 req, miss ratio 0.2797, byte miss ratio 0.2797
w89.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   308284, 3625918 req, miss ratio 0.2368, byte miss ratio 0.2368
w89.oracleGeneral.bin.zst S3FIFO-0.8000-1.9000 cache size   616569, 3625918 req, miss ratio 0.2166, byte miss ratio 0.2166
w89.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size      770, 3625918 req, miss ratio 0.4859, byte miss ratio 0.4859
w89.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     2312, 3625918 req, miss ratio 0.4693, byte miss ratio 0.4693
w89.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     7707, 3625918 req, miss ratio 0.4428, byte miss ratio 0.4428
w89.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size    23121, 3625918 req, miss ratio 0.4175, byte miss ratio 0.4175
w89.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size    77071, 3625918 req, miss ratio 0.3535, byte miss ratio 0.3535
w89.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size   154142, 3625918 req, miss ratio 0.2785, byte miss ratio 0.2785
w89.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size   308284, 3625918 req, miss ratio 0.2361, byte miss ratio 0.2361
w89.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size      770, 3625918 req, miss ratio 0.4861, byte miss ratio 0.4861
w89.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size     2312, 3625918 req, miss ratio 0.4670, byte miss ratio 0.4670
w89.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size     7707, 3625918 req, miss ratio 0.4453, byte miss ratio 0.4453
w89.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size    23121, 3625918 req, miss ratio 0.4091, byte miss ratio 0.4091
w89.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size    77071, 3625918 req, miss ratio 0.3337, byte miss ratio 0.3337
w89.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size   154142, 3625918 req, miss ratio 0.2669, byte miss ratio 0.2669
w89.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size   308284, 3625918 req, miss ratio 0.2559, byte miss ratio 0.2559
w89.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size      770, 3625918 req, miss ratio 0.4833, byte miss ratio 0.4833
w89.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size     2312, 3625918 req, miss ratio 0.4637, byte miss ratio 0.4637
w89.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size     7707, 3625918 req, miss ratio 0.4447, byte miss ratio 0.4447
w89.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size    23121, 3625918 req, miss ratio 0.4056, byte miss ratio 0.4056
w89.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size    77071, 3625918 req, miss ratio 0.3450, byte miss ratio 0.3450
w89.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size   154142, 3625918 req, miss ratio 0.2641, byte miss ratio 0.2641
w89.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size   308284, 3625918 req, miss ratio 0.2599, byte miss ratio 0.2599
w89.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size      770, 3625918 req, miss ratio 0.4829, byte miss ratio 0.4829
w89.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size     2312, 3625918 req, miss ratio 0.4659, byte miss ratio 0.4659
w89.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size     7707, 3625918 req, miss ratio 0.4439, byte miss ratio 0.4439
w89.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    23121, 3625918 req, miss ratio 0.4090, byte miss ratio 0.4090
w89.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size    77071, 3625918 req, miss ratio 0.3546, byte miss ratio 0.3546
w89.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   154142, 3625918 req, miss ratio 0.2738, byte miss ratio 0.2738
w89.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   308284, 3625918 req, miss ratio 0.2544, byte miss ratio 0.2544
w89.oracleGeneral.bin.zst S3FIFO-0.4000-0.9000 cache size   616569, 3625918 req, miss ratio 0.2138, byte miss ratio 0.2138
w89.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size      770, 3625918 req, miss ratio 0.4908, byte miss ratio 0.4908
w89.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     2312, 3625918 req, miss ratio 0.4709, byte miss ratio 0.4709
w89.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     7707, 3625918 req, miss ratio 0.4451, byte miss ratio 0.4451
w89.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size    23121, 3625918 req, miss ratio 0.4208, byte miss ratio 0.4208
w89.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size    77071, 3625918 req, miss ratio 0.3539, byte miss ratio 0.3539
w89.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size   154142, 3625918 req, miss ratio 0.2797, byte miss ratio 0.2797
w89.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size   308284, 3625918 req, miss ratio 0.2364, byte miss ratio 0.2364
w89.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size   616569, 3625918 req, miss ratio 0.2153, byte miss ratio 0.2153
w89.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size      770, 3625918 req, miss ratio 0.4878, byte miss ratio 0.4878
w89.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     2312, 3625918 req, miss ratio 0.4700, byte miss ratio 0.4700
w89.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     7707, 3625918 req, miss ratio 0.4447, byte miss ratio 0.4447
w89.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size    23121, 3625918 req, miss ratio 0.4201, byte miss ratio 0.4201
w89.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size    77071, 3625918 req, miss ratio 0.3542, byte miss ratio 0.3542
