pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.1000 cache size    42504, 184017803 req, miss ratio 0.4839, byte miss ratio 0.4839
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.1000 cache size   141681, 184017803 req, miss ratio 0.3998, byte miss ratio 0.3998
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.1000 cache size   283362, 184017803 req, miss ratio 0.1768, byte miss ratio 0.1768
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.1000 cache size   566724, 184017803 req, miss ratio 0.0960, byte miss ratio 0.0960
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-1.1000 cache size  1133448, 184017803 req, miss ratio 0.0116, byte miss ratio 0.0116
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.8000 cache size     1416, 184017803 req, miss ratio 0.5732, byte miss ratio 0.5732
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.8000 cache size     4250, 184017803 req, miss ratio 0.5389, byte miss ratio 0.5389
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.8000 cache size    14168, 184017803 req, miss ratio 0.5084, byte miss ratio 0.5084
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.8000 cache size    42504, 184017803 req, miss ratio 0.4731, byte miss ratio 0.4731
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.8000 cache size   141681, 184017803 req, miss ratio 0.3000, byte miss ratio 0.3000
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.8000 cache size   283362, 184017803 req, miss ratio 0.1619, byte miss ratio 0.1619
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.8000 cache size   566724, 184017803 req, miss ratio 0.0804, byte miss ratio 0.0804
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-0.8000 cache size  1133448, 184017803 req, miss ratio 0.0102, byte miss ratio 0.0102
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.1000 cache size     1416, 184017803 req, miss ratio 0.6244, byte miss ratio 0.6244
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.1000 cache size     4250, 184017803 req, miss ratio 0.5852, byte miss ratio 0.5852
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.1000 cache size    14168, 184017803 req, miss ratio 0.5482, byte miss ratio 0.5482
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.1000 cache size    42504, 184017803 req, miss ratio 0.5145, byte miss ratio 0.5145
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.1000 cache size   141681, 184017803 req, miss ratio 0.4043, byte miss ratio 0.4043
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.1000 cache size   283362, 184017803 req, miss ratio 0.2504, byte miss ratio 0.2504
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.1000 cache size   566724, 184017803 req, miss ratio 0.1123, byte miss ratio 0.1123
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9900-0.1000 cache size  1133448, 184017803 req, miss ratio 0.0184, byte miss ratio 0.0184
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.5000 cache size     1416, 184017803 req, miss ratio 0.6090, byte miss ratio 0.6090
pushservice_mh_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.5000 cache size     4250, 184017803 req, miss ratio 0.5728, byte miss ratio 0.5728
