tencentBlock.ns3027 S3FIFO-0.6000-1.9000 cache size   235876, 50848776 req, miss ratio 0.2157, byte miss ratio 0.2157
tencentBlock.ns3027 S3FIFO-0.6000-1.9000 cache size   471752, 50848776 req, miss ratio 0.1256, byte miss ratio 0.1256
tencentBlock.ns3027 S3FIFO-0.6000-1.9000 cache size   943504, 50848776 req, miss ratio 0.0687, byte miss ratio 0.0687
tencentBlock.ns3027 S3FIFO-0.6000-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0490, byte miss ratio 0.0490
tencentBlock.ns3027 S3FIFO-0.3000-1.9000 cache size     2358, 50848776 req, miss ratio 0.7567, byte miss ratio 0.7567
tencentBlock.ns3027 S3FIFO-0.3000-1.9000 cache size     7076, 50848776 req, miss ratio 0.6353, byte miss ratio 0.6353
tencentBlock.ns3027 S3FIFO-0.3000-1.9000 cache size    23587, 50848776 req, miss ratio 0.5111, byte miss ratio 0.5111
tencentBlock.ns3027 S3FIFO-0.3000-1.9000 cache size    70762, 50848776 req, miss ratio 0.3940, byte miss ratio 0.3940
tencentBlock.ns3027 S3FIFO-0.3000-1.9000 cache size   235876, 50848776 req, miss ratio 0.1998, byte miss ratio 0.1998
tencentBlock.ns3027 S3FIFO-0.3000-1.9000 cache size   471752, 50848776 req, miss ratio 0.1111, byte miss ratio 0.1111
tencentBlock.ns3027 S3FIFO-0.3000-1.9000 cache size   943504, 50848776 req, miss ratio 0.0642, byte miss ratio 0.0642
tencentBlock.ns3027 S3FIFO-0.3000-1.9000 cache size  1887008, 50848776 req, miss ratio 0.0481, byte miss ratio 0.0481
tencentBlock.ns3027 S3FIFO-0.6500-1.9000 cache size     2358, 50848776 req, miss ratio 0.7629, byte miss ratio 0.7629
tencentBlock.ns3027 S3FIFO-0.6500-1.9000 cache size     7076, 50848776 req, miss ratio 0.6435, byte miss ratio 0.6435
tencentBlock.ns3027 S3FIFO-0.6500-1.9000 cache size    23587, 50848776 req, miss ratio 0.5277, byte miss ratio 0.5277
tencentBlock.ns3027 S3FIFO-0.6500-1.9000 cache size    70762, 50848776 req, miss ratio 0.4079, byte miss ratio 0.4079
tencentBlock.ns3027 S3FIFO-0.6500-1.9000 cache size   235876, 50848776 req, miss ratio 0.2188, byte miss ratio 0.2188
tencentBlock.ns3027 S3FIFO-0.6500-1.9000 cache size   471752, 50848776 req, miss ratio 0.1282, byte miss ratio 0.1282
