io_traces.ns538 S3FIFO-0.1000-0.9000 cache size    60788, 14200000 req, miss ratio 0.8816, byte miss ratio 0.8816
io_traces.ns538 S3FIFO-0.1000-0.9000 cache size   182364, 14200000 req, miss ratio 0.6709, byte miss ratio 0.6709
io_traces.ns538 S3FIFO-0.1000-0.9000 cache size   607881, 14200000 req, miss ratio 0.5299, byte miss ratio 0.5299
io_traces.ns538 S3FIFO-0.1000-0.9000 cache size  1215762, 14200000 req, miss ratio 0.4836, byte miss ratio 0.4836
io_traces.ns538 S3FIFO-0.1000-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.1000-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.2000-1.9000 cache size     6078, 14200000 req, miss ratio 0.9539, byte miss ratio 0.9539
io_traces.ns538 S3FIFO-0.2000-1.9000 cache size    18236, 14200000 req, miss ratio 0.9378, byte miss ratio 0.9378
io_traces.ns538 S3FIFO-0.2000-1.9000 cache size    60788, 14200000 req, miss ratio 0.8349, byte miss ratio 0.8349
io_traces.ns538 S3FIFO-0.2000-1.9000 cache size   182364, 14200000 req, miss ratio 0.6845, byte miss ratio 0.6845
io_traces.ns538 S3FIFO-0.2000-1.9000 cache size   607881, 14200000 req, miss ratio 0.5200, byte miss ratio 0.5200
io_traces.ns538 S3FIFO-0.2000-1.9000 cache size  1215762, 14200000 req, miss ratio 0.4833, byte miss ratio 0.4833
io_traces.ns538 S3FIFO-0.2000-1.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.2000-1.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.4500-0.9000 cache size     6078, 14200000 req, miss ratio 0.9550, byte miss ratio 0.9550
io_traces.ns538 S3FIFO-0.4500-0.9000 cache size    18236, 14200000 req, miss ratio 0.9478, byte miss ratio 0.9478
io_traces.ns538 S3FIFO-0.4500-0.9000 cache size    60788, 14200000 req, miss ratio 0.8896, byte miss ratio 0.8896
io_traces.ns538 S3FIFO-0.4500-0.9000 cache size   182364, 14200000 req, miss ratio 0.7287, byte miss ratio 0.7287
io_traces.ns538 S3FIFO-0.4500-0.9000 cache size   607881, 14200000 req, miss ratio 0.5375, byte miss ratio 0.5375
io_traces.ns538 S3FIFO-0.4500-0.9000 cache size  1215762, 14200000 req, miss ratio 0.4860, byte miss ratio 0.4860
io_traces.ns538 S3FIFO-0.4500-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.4500-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.2000-0.9000 cache size     6078, 14200000 req, miss ratio 0.9542, byte miss ratio 0.9542
io_traces.ns538 S3FIFO-0.2000-0.9000 cache size    18236, 14200000 req, miss ratio 0.9478, byte miss ratio 0.9478
io_traces.ns538 S3FIFO-0.2000-0.9000 cache size    60788, 14200000 req, miss ratio 0.8816, byte miss ratio 0.8816
io_traces.ns538 S3FIFO-0.2000-0.9000 cache size   182364, 14200000 req, miss ratio 0.6808, byte miss ratio 0.6808
io_traces.ns538 S3FIFO-0.2000-0.9000 cache size   607881, 14200000 req, miss ratio 0.5206, byte miss ratio 0.5206
io_traces.ns538 S3FIFO-0.2000-0.9000 cache size  1215762, 14200000 req, miss ratio 0.4837, byte miss ratio 0.4837
io_traces.ns538 S3FIFO-0.2000-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.2000-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.2500-0.9000 cache size     6078, 14200000 req, miss ratio 0.9542, byte miss ratio 0.9542
io_traces.ns538 S3FIFO-0.2500-0.9000 cache size    18236, 14200000 req, miss ratio 0.9478, byte miss ratio 0.9478
io_traces.ns538 S3FIFO-0.2500-0.9000 cache size    60788, 14200000 req, miss ratio 0.8806, byte miss ratio 0.8806
io_traces.ns538 S3FIFO-0.2500-0.9000 cache size   182364, 14200000 req, miss ratio 0.6874, byte miss ratio 0.6874
io_traces.ns538 S3FIFO-0.2500-0.9000 cache size   607881, 14200000 req, miss ratio 0.5232, byte miss ratio 0.5232
io_traces.ns538 S3FIFO-0.2500-0.9000 cache size  1215762, 14200000 req, miss ratio 0.4838, byte miss ratio 0.4838
io_traces.ns538 S3FIFO-0.2500-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.2500-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.0500-1.9000 cache size     6078, 14200000 req, miss ratio 0.9539, byte miss ratio 0.9539
io_traces.ns538 S3FIFO-0.0500-1.9000 cache size    18236, 14200000 req, miss ratio 0.9378, byte miss ratio 0.9378
io_traces.ns538 S3FIFO-0.0500-1.9000 cache size    60788, 14200000 req, miss ratio 0.8203, byte miss ratio 0.8203
io_traces.ns538 S3FIFO-0.0500-1.9000 cache size   182364, 14200000 req, miss ratio 0.6581, byte miss ratio 0.6581
io_traces.ns538 S3FIFO-0.0500-1.9000 cache size   607881, 14200000 req, miss ratio 0.5276, byte miss ratio 0.5276
io_traces.ns538 S3FIFO-0.0500-1.9000 cache size  1215762, 14200000 req, miss ratio 0.4853, byte miss ratio 0.4853
io_traces.ns538 S3FIFO-0.0500-1.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.0500-1.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.4000-0.9000 cache size     6078, 14200000 req, miss ratio 0.9549, byte miss ratio 0.9549
io_traces.ns538 S3FIFO-0.4000-0.9000 cache size    18236, 14200000 req, miss ratio 0.9478, byte miss ratio 0.9478
io_traces.ns538 S3FIFO-0.4000-0.9000 cache size    60788, 14200000 req, miss ratio 0.8860, byte miss ratio 0.8860
io_traces.ns538 S3FIFO-0.4000-0.9000 cache size   182364, 14200000 req, miss ratio 0.7169, byte miss ratio 0.7169
io_traces.ns538 S3FIFO-0.4000-0.9000 cache size   607881, 14200000 req, miss ratio 0.5341, byte miss ratio 0.5341
io_traces.ns538 S3FIFO-0.4000-0.9000 cache size  1215762, 14200000 req, miss ratio 0.4854, byte miss ratio 0.4854
io_traces.ns538 S3FIFO-0.4000-0.9000 cache size  2431524, 14200000 req, miss ratio 0.4569, byte miss ratio 0.4569
io_traces.ns538 S3FIFO-0.4000-0.9000 cache size  4863049, 14200000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns538 S3FIFO-0.0500-0.9000 cache size     6078, 14200000 req, miss ratio 0.9542, byte miss ratio 0.9542
io_traces.ns538 S3FIFO-0.0500-0.9000 cache size    18236, 14200000 req, miss ratio 0.9478, byte miss ratio 0.9478
io_traces.ns538 S3FIFO-0.0500-0.9000 cache size    60788, 14200000 req, miss ratio 0.8816, byte miss ratio 0.8816
io_traces.ns538 S3FIFO-0.0500-0.9000 cache size   182364, 14200000 req, miss ratio 0.6671, byte miss ratio 0.6671
