tencentBlock.ns23479 S3FIFO-0.2000-1.9000 cache size       30, 12757218 req, miss ratio 0.7272, byte miss ratio 0.7272
tencentBlock.ns23479 S3FIFO-0.2000-1.9000 cache size       92, 12757218 req, miss ratio 0.3430, byte miss ratio 0.3430
tencentBlock.ns23479 S3FIFO-0.2000-1.9000 cache size      306, 12757218 req, miss ratio 0.0172, byte miss ratio 0.0172
tencentBlock.ns23479 S3FIFO-0.2000-1.9000 cache size      613, 12757218 req, miss ratio 0.0068, byte miss ratio 0.0068
tencentBlock.ns23479 S3FIFO-0.2000-1.9000 cache size     1227, 12757218 req, miss ratio 0.0052, byte miss ratio 0.0052
tencentBlock.ns23479 S3FIFO-0.2000-1.9000 cache size     2455, 12757218 req, miss ratio 0.0018, byte miss ratio 0.0018
tencentBlock.ns23479 S3FIFO-0.0250-0.9000 cache size        9, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.0250-0.9000 cache size       30, 12757218 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns23479 S3FIFO-0.0250-0.9000 cache size       92, 12757218 req, miss ratio 0.4234, byte miss ratio 0.4234
tencentBlock.ns23479 S3FIFO-0.0250-0.9000 cache size      306, 12757218 req, miss ratio 0.0164, byte miss ratio 0.0164
tencentBlock.ns23479 S3FIFO-0.0250-0.9000 cache size      613, 12757218 req, miss ratio 0.0070, byte miss ratio 0.0070
tencentBlock.ns23479 S3FIFO-0.0250-0.9000 cache size     1227, 12757218 req, miss ratio 0.0050, byte miss ratio 0.0050
tencentBlock.ns23479 S3FIFO-0.0250-0.9000 cache size     2455, 12757218 req, miss ratio 0.0013, byte miss ratio 0.0013
tencentBlock.ns23479 S3FIFO-0.8500-0.9000 cache size        9, 12757218 req, miss ratio 0.7331, byte miss ratio 0.7331
tencentBlock.ns23479 S3FIFO-0.8500-0.9000 cache size       30, 12757218 req, miss ratio 0.7329, byte miss ratio 0.7329
tencentBlock.ns23479 S3FIFO-0.8500-0.9000 cache size       92, 12757218 req, miss ratio 0.4752, byte miss ratio 0.4752
tencentBlock.ns23479 S3FIFO-0.8500-0.9000 cache size      306, 12757218 req, miss ratio 0.0208, byte miss ratio 0.0208
