cdn1_colo28.ns975 S3FIFO-0.5500-1.9000 cache size       98, 2315384 req, miss ratio 0.4601, byte miss ratio 0.4601
cdn1_colo28.ns975 S3FIFO-0.5500-1.9000 cache size      328, 2315384 req, miss ratio 0.3784, byte miss ratio 0.3784
cdn1_colo28.ns975 S3FIFO-0.5500-1.9000 cache size      986, 2315384 req, miss ratio 0.2677, byte miss ratio 0.2677
cdn1_colo28.ns975 S3FIFO-0.5500-1.9000 cache size     3289, 2315384 req, miss ratio 0.1220, byte miss ratio 0.1220
cdn1_colo28.ns975 S3FIFO-0.5500-1.9000 cache size     6578, 2315384 req, miss ratio 0.0640, byte miss ratio 0.0640
cdn1_colo28.ns975 S3FIFO-0.5500-1.9000 cache size    13156, 2315384 req, miss ratio 0.0316, byte miss ratio 0.0316
cdn1_colo28.ns975 S3FIFO-0.5500-1.9000 cache size    26313, 2315384 req, miss ratio 0.0157, byte miss ratio 0.0157
cdn1_colo28.ns975 S3FIFO-0.3500-0.9000 cache size       32, 2315384 req, miss ratio 0.5270, byte miss ratio 0.5270
cdn1_colo28.ns975 S3FIFO-0.3500-0.9000 cache size       98, 2315384 req, miss ratio 0.4398, byte miss ratio 0.4398
cdn1_colo28.ns975 S3FIFO-0.3500-0.9000 cache size      328, 2315384 req, miss ratio 0.3546, byte miss ratio 0.3546
cdn1_colo28.ns975 S3FIFO-0.3500-0.9000 cache size      986, 2315384 req, miss ratio 0.2442, byte miss ratio 0.2442
cdn1_colo28.ns975 S3FIFO-0.3500-0.9000 cache size     3289, 2315384 req, miss ratio 0.1089, byte miss ratio 0.1089
cdn1_colo28.ns975 S3FIFO-0.3500-0.9000 cache size     6578, 2315384 req, miss ratio 0.0581, byte miss ratio 0.0581
cdn1_colo28.ns975 S3FIFO-0.3500-0.9000 cache size    13156, 2315384 req, miss ratio 0.0288, byte miss ratio 0.0288
cdn1_colo28.ns975 S3FIFO-0.3500-0.9000 cache size    26313, 2315384 req, miss ratio 0.0151, byte miss ratio 0.0151
cdn1_colo28.ns975 S3FIFO-0.9500-1.9000 cache size       32, 2315384 req, miss ratio 0.7197, byte miss ratio 0.7197
cdn1_colo28.ns975 S3FIFO-0.9500-1.9000 cache size       98, 2315384 req, miss ratio 0.5503, byte miss ratio 0.5503
cdn1_colo28.ns975 S3FIFO-0.9500-1.9000 cache size      328, 2315384 req, miss ratio 0.4238, byte miss ratio 0.4238
cdn1_colo28.ns975 S3FIFO-0.9500-1.9000 cache size      986, 2315384 req, miss ratio 0.3011, byte miss ratio 0.3011
cdn1_colo28.ns975 S3FIFO-0.9500-1.9000 cache size     3289, 2315384 req, miss ratio 0.1467, byte miss ratio 0.1467
cdn1_colo28.ns975 S3FIFO-0.9500-1.9000 cache size     6578, 2315384 req, miss ratio 0.0800, byte miss ratio 0.0800
cdn1_colo28.ns975 S3FIFO-0.9500-1.9000 cache size    13156, 2315384 req, miss ratio 0.0398, byte miss ratio 0.0398
cdn1_colo28.ns975 S3FIFO-0.9500-1.9000 cache size    26313, 2315384 req, miss ratio 0.0187, byte miss ratio 0.0187
cdn1_colo28.ns975 S3FIFO-0.0010-1.9000 cache size       32, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns975 S3FIFO-0.0010-1.9000 cache size       98, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns975 S3FIFO-0.0010-1.9000 cache size      328, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns975 S3FIFO-0.0010-1.9000 cache size      986, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns975 S3FIFO-0.0010-1.9000 cache size     3289, 2315384 req, miss ratio 0.0937, byte miss ratio 0.0937
cdn1_colo28.ns975 S3FIFO-0.0010-1.9000 cache size     6578, 2315384 req, miss ratio 0.0512, byte miss ratio 0.0512
cdn1_colo28.ns975 S3FIFO-0.0010-1.9000 cache size    13156, 2315384 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_colo28.ns975 S3FIFO-0.0010-1.9000 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_colo28.ns975 S3FIFO-0.0050-0.9000 cache size       32, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns975 S3FIFO-0.0050-0.9000 cache size       98, 2315384 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns975 S3FIFO-0.0050-0.9000 cache size      328, 2315384 req, miss ratio 0.3302, byte miss ratio 0.3302
cdn1_colo28.ns975 S3FIFO-0.0050-0.9000 cache size      986, 2315384 req, miss ratio 0.2158, byte miss ratio 0.2158
cdn1_colo28.ns975 S3FIFO-0.0050-0.9000 cache size     3289, 2315384 req, miss ratio 0.0896, byte miss ratio 0.0896
cdn1_colo28.ns975 S3FIFO-0.0050-0.9000 cache size     6578, 2315384 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_colo28.ns975 S3FIFO-0.0050-0.9000 cache size    13156, 2315384 req, miss ratio 0.0252, byte miss ratio 0.0252
cdn1_colo28.ns975 S3FIFO-0.0050-0.9000 cache size    26313, 2315384 req, miss ratio 0.0149, byte miss ratio 0.0149
cdn1_colo28.ns975 S3FIFO-0.2000-0.9000 cache size       32, 2315384 req, miss ratio 0.5018, byte miss ratio 0.5018
cdn1_colo28.ns975 S3FIFO-0.2000-0.9000 cache size       98, 2315384 req, miss ratio 0.4298, byte miss ratio 0.4298
