guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.8000 cache size   543696, 15433112 req, miss ratio 0.0882, byte miss ratio 0.0882
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2000-1.8000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size     1359, 15433112 req, miss ratio 0.3653, byte miss ratio 0.3653
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size     4077, 15433112 req, miss ratio 0.2046, byte miss ratio 0.2046
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    13592, 15433112 req, miss ratio 0.1345, byte miss ratio 0.1345
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    40777, 15433112 req, miss ratio 0.1050, byte miss ratio 0.1050
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   135924, 15433112 req, miss ratio 0.0895, byte miss ratio 0.0895
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   271848, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   543696, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  1087392, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.4000 cache size     1359, 15433112 req, miss ratio 0.3573, byte miss ratio 0.3573
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.4000 cache size     4077, 15433112 req, miss ratio 0.1954, byte miss ratio 0.1954
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.4000 cache size    13592, 15433112 req, miss ratio 0.1293, byte miss ratio 0.1293
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.4000 cache size    40777, 15433112 req, miss ratio 0.1030, byte miss ratio 0.1030
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.4000 cache size   135924, 15433112 req, miss ratio 0.0901, byte miss ratio 0.0901
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.4000 cache size   271848, 15433112 req, miss ratio 0.0884, byte miss ratio 0.0884
guest_sessions_cache.0.oracleGeneral.sample10.zst S3FIFO-0.3000-0.4000 cache size   543696, 15433112 req, miss ratio 0.0881, byte miss ratio 0.0881
