query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size      743, 63962758 req, miss ratio 0.4662, byte miss ratio 0.4662
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     2231, 63962758 req, miss ratio 0.2386, byte miss ratio 0.2386
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     7437, 63962758 req, miss ratio 0.1158, byte miss ratio 0.1158
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    22312, 63962758 req, miss ratio 0.0839, byte miss ratio 0.0839
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    74374, 63962758 req, miss ratio 0.0551, byte miss ratio 0.0551
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   148748, 63962758 req, miss ratio 0.0372, byte miss ratio 0.0372
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   297497, 63962758 req, miss ratio 0.0208, byte miss ratio 0.0208
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   594994, 63962758 req, miss ratio 0.0128, byte miss ratio 0.0128
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size      743, 63962758 req, miss ratio 0.3312, byte miss ratio 0.3312
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size     2231, 63962758 req, miss ratio 0.2116, byte miss ratio 0.2116
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size     7437, 63962758 req, miss ratio 0.1277, byte miss ratio 0.1277
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    22312, 63962758 req, miss ratio 0.0890, byte miss ratio 0.0890
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    74374, 63962758 req, miss ratio 0.0610, byte miss ratio 0.0610
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   148748, 63962758 req, miss ratio 0.0453, byte miss ratio 0.0453
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   297497, 63962758 req, miss ratio 0.0272, byte miss ratio 0.0272
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   594994, 63962758 req, miss ratio 0.0148, byte miss ratio 0.0148
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size      743, 63962758 req, miss ratio 0.3672, byte miss ratio 0.3672
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size     2231, 63962758 req, miss ratio 0.1851, byte miss ratio 0.1851
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size     7437, 63962758 req, miss ratio 0.1160, byte miss ratio 0.1160
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    22312, 63962758 req, miss ratio 0.0839, byte miss ratio 0.0839
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    74374, 63962758 req, miss ratio 0.0567, byte miss ratio 0.0567
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   148748, 63962758 req, miss ratio 0.0413, byte miss ratio 0.0413
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   297497, 63962758 req, miss ratio 0.0238, byte miss ratio 0.0238
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   594994, 63962758 req, miss ratio 0.0130, byte miss ratio 0.0130
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size      743, 63962758 req, miss ratio 1.0000, byte miss ratio 1.0000
query_stream_processor_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-0.9000 cache size     2231, 63962758 req, miss ratio 0.3363, byte miss ratio 0.3363
