atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.5000 cache size   817899, 99119244 req, miss ratio 0.0708, byte miss ratio 0.0708
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.5000 cache size  1635798, 99119244 req, miss ratio 0.0504, byte miss ratio 0.0504
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6000-1.5000 cache size  3271596, 99119244 req, miss ratio 0.0422, byte miss ratio 0.0422
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.8000 cache size     4089, 99119244 req, miss ratio 0.4299, byte miss ratio 0.4299
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.8000 cache size    12268, 99119244 req, miss ratio 0.3285, byte miss ratio 0.3285
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.8000 cache size    40894, 99119244 req, miss ratio 0.2393, byte miss ratio 0.2393
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.8000 cache size   122684, 99119244 req, miss ratio 0.1725, byte miss ratio 0.1725
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.8000 cache size   408949, 99119244 req, miss ratio 0.0975, byte miss ratio 0.0975
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.8000 cache size   817899, 99119244 req, miss ratio 0.0722, byte miss ratio 0.0722
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.8000 cache size  1635798, 99119244 req, miss ratio 0.0510, byte miss ratio 0.0510
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.7000-0.8000 cache size  3271596, 99119244 req, miss ratio 0.0422, byte miss ratio 0.0422
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size     4089, 99119244 req, miss ratio 0.4277, byte miss ratio 0.4277
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size    12268, 99119244 req, miss ratio 0.3441, byte miss ratio 0.3441
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size    40894, 99119244 req, miss ratio 0.2582, byte miss ratio 0.2582
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   122684, 99119244 req, miss ratio 0.1803, byte miss ratio 0.1803
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   408949, 99119244 req, miss ratio 0.1081, byte miss ratio 0.1081
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size   817899, 99119244 req, miss ratio 0.0777, byte miss ratio 0.0777
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  1635798, 99119244 req, miss ratio 0.0561, byte miss ratio 0.0561
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0100-1.9000 cache size  3271596, 99119244 req, miss ratio 0.0429, byte miss ratio 0.0429
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.8000 cache size     4089, 99119244 req, miss ratio 0.4312, byte miss ratio 0.4312
atm_user_nsfa_tweet_score_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0050-0.8000 cache size    12268, 99119244 req, miss ratio 0.3477, byte miss ratio 0.3477
