tencentBlock.ns9296 S3FIFO-0.4500-1.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.1000-0.9000 cache size      674, 4957575 req, miss ratio 0.4940, byte miss ratio 0.4940
tencentBlock.ns9296 S3FIFO-0.1000-0.9000 cache size     2023, 4957575 req, miss ratio 0.3477, byte miss ratio 0.3477
tencentBlock.ns9296 S3FIFO-0.1000-0.9000 cache size     6745, 4957575 req, miss ratio 0.3289, byte miss ratio 0.3289
tencentBlock.ns9296 S3FIFO-0.1000-0.9000 cache size    20237, 4957575 req, miss ratio 0.2893, byte miss ratio 0.2893
tencentBlock.ns9296 S3FIFO-0.1000-0.9000 cache size    67459, 4957575 req, miss ratio 0.2431, byte miss ratio 0.2431
tencentBlock.ns9296 S3FIFO-0.1000-0.9000 cache size   134919, 4957575 req, miss ratio 0.1896, byte miss ratio 0.1896
tencentBlock.ns9296 S3FIFO-0.1000-0.9000 cache size   269838, 4957575 req, miss ratio 0.1543, byte miss ratio 0.1543
tencentBlock.ns9296 S3FIFO-0.1000-0.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.0010-1.9000 cache size      674, 4957575 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns9296 S3FIFO-0.0010-1.9000 cache size     2023, 4957575 req, miss ratio 0.3886, byte miss ratio 0.3886
tencentBlock.ns9296 S3FIFO-0.0010-1.9000 cache size     6745, 4957575 req, miss ratio 0.3597, byte miss ratio 0.3597
tencentBlock.ns9296 S3FIFO-0.0010-1.9000 cache size    20237, 4957575 req, miss ratio 0.3026, byte miss ratio 0.3026
tencentBlock.ns9296 S3FIFO-0.0010-1.9000 cache size    67459, 4957575 req, miss ratio 0.2496, byte miss ratio 0.2496
tencentBlock.ns9296 S3FIFO-0.0010-1.9000 cache size   134919, 4957575 req, miss ratio 0.2004, byte miss ratio 0.2004
tencentBlock.ns9296 S3FIFO-0.0010-1.9000 cache size   269838, 4957575 req, miss ratio 0.1617, byte miss ratio 0.1617
