index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size  2064031, 235444220 req, miss ratio 0.0514, byte miss ratio 0.0514
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size  4128062, 235444220 req, miss ratio 0.0471, byte miss ratio 0.0471
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size  8256124, 235444220 req, miss ratio 0.0445, byte miss ratio 0.0445
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    10320, 235444220 req, miss ratio 0.1920, byte miss ratio 0.1920
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size    30960, 235444220 req, miss ratio 0.1364, byte miss ratio 0.1364
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   103201, 235444220 req, miss ratio 0.0915, byte miss ratio 0.0915
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   309604, 235444220 req, miss ratio 0.0670, byte miss ratio 0.0670
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size  1032015, 235444220 req, miss ratio 0.0524, byte miss ratio 0.0524
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size  2064031, 235444220 req, miss ratio 0.0479, byte miss ratio 0.0479
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size  4128062, 235444220 req, miss ratio 0.0458, byte miss ratio 0.0458
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size  8256124, 235444220 req, miss ratio 0.0443, byte miss ratio 0.0443
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size    10320, 235444220 req, miss ratio 0.2128, byte miss ratio 0.2128
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size    30960, 235444220 req, miss ratio 0.1536, byte miss ratio 0.1536
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   103201, 235444220 req, miss ratio 0.1035, byte miss ratio 0.1035
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size   309604, 235444220 req, miss ratio 0.0741, byte miss ratio 0.0741
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size  1032015, 235444220 req, miss ratio 0.0559, byte miss ratio 0.0559
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size  2064031, 235444220 req, miss ratio 0.0496, byte miss ratio 0.0496
index_server_rtt_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-0.9000 cache size  4128062, 235444220 req, miss ratio 0.0462, byte miss ratio 0.0462
