cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size     3773, 3138748 req, miss ratio 0.1263, byte miss ratio 0.1263
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    11320, 3138748 req, miss ratio 0.1232, byte miss ratio 0.1232
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    37735, 3138748 req, miss ratio 0.1208, byte miss ratio 0.1208
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0050-1.9000 cache size   301884, 3138748 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size      377, 3138748 req, miss ratio 0.1286, byte miss ratio 0.1286
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size     1132, 3138748 req, miss ratio 0.1245, byte miss ratio 0.1245
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size     3773, 3138748 req, miss ratio 0.1218, byte miss ratio 0.1218
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size    11320, 3138748 req, miss ratio 0.1210, byte miss ratio 0.1210
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size    37735, 3138748 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size    75471, 3138748 req, miss ratio 0.1204, byte miss ratio 0.1204
cdn2_lax.ns57.oracleGeneral.bin.zst S3FIFO-0.0500-1.9000 cache size   150942, 3138748 req, miss ratio 0.1203, byte miss ratio 0.1203
