ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size  1402808, 311690077 req, miss ratio 0.0063, byte miss ratio 0.0063
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size     1753, 311690077 req, miss ratio 0.3250, byte miss ratio 0.3250
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size     5260, 311690077 req, miss ratio 0.2571, byte miss ratio 0.2571
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    17535, 311690077 req, miss ratio 0.1791, byte miss ratio 0.1791
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size    52605, 311690077 req, miss ratio 0.1173, byte miss ratio 0.1173
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   175351, 311690077 req, miss ratio 0.0708, byte miss ratio 0.0708
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   350702, 311690077 req, miss ratio 0.0541, byte miss ratio 0.0541
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size   701404, 311690077 req, miss ratio 0.0229, byte miss ratio 0.0229
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-0.9000 cache size  1402808, 311690077 req, miss ratio 0.0072, byte miss ratio 0.0072
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size     1753, 311690077 req, miss ratio 0.3304, byte miss ratio 0.3304
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size     5260, 311690077 req, miss ratio 0.2645, byte miss ratio 0.2645
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size    17535, 311690077 req, miss ratio 0.1865, byte miss ratio 0.1865
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size    52605, 311690077 req, miss ratio 0.1236, byte miss ratio 0.1236
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   175351, 311690077 req, miss ratio 0.0751, byte miss ratio 0.0751
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   350702, 311690077 req, miss ratio 0.0573, byte miss ratio 0.0573
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size   701404, 311690077 req, miss ratio 0.0245, byte miss ratio 0.0245
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-1.9000 cache size  1402808, 311690077 req, miss ratio 0.0078, byte miss ratio 0.0078
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size     1753, 311690077 req, miss ratio 0.3123, byte miss ratio 0.3123
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size     5260, 311690077 req, miss ratio 0.2423, byte miss ratio 0.2423
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    17535, 311690077 req, miss ratio 0.1649, byte miss ratio 0.1649
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    52605, 311690077 req, miss ratio 0.1058, byte miss ratio 0.1058
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   175351, 311690077 req, miss ratio 0.0640, byte miss ratio 0.0640
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   350702, 311690077 req, miss ratio 0.0492, byte miss ratio 0.0492
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   701404, 311690077 req, miss ratio 0.0180, byte miss ratio 0.0180
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size  1402808, 311690077 req, miss ratio 0.0063, byte miss ratio 0.0063
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     1753, 311690077 req, miss ratio 0.3049, byte miss ratio 0.3049
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size     5260, 311690077 req, miss ratio 0.2342, byte miss ratio 0.2342
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    17535, 311690077 req, miss ratio 0.1574, byte miss ratio 0.1574
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size    52605, 311690077 req, miss ratio 0.0999, byte miss ratio 0.0999
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   175351, 311690077 req, miss ratio 0.0607, byte miss ratio 0.0607
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   350702, 311690077 req, miss ratio 0.0462, byte miss ratio 0.0462
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size   701404, 311690077 req, miss ratio 0.0154, byte miss ratio 0.0154
ibis_limiter_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1000-0.9000 cache size  1402808, 311690077 req, miss ratio 0.0062, byte miss ratio 0.0062
