cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size   101746, 1187208 req, miss ratio 0.2146, byte miss ratio 0.2146
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.1500-1.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size      254, 1187208 req, miss ratio 0.3036, byte miss ratio 0.3036
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size      763, 1187208 req, miss ratio 0.2779, byte miss ratio 0.2779
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     2543, 1187208 req, miss ratio 0.2581, byte miss ratio 0.2581
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size     7631, 1187208 req, miss ratio 0.2398, byte miss ratio 0.2398
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    25436, 1187208 req, miss ratio 0.2271, byte miss ratio 0.2271
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size    50873, 1187208 req, miss ratio 0.2195, byte miss ratio 0.2195
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   101746, 1187208 req, miss ratio 0.2157, byte miss ratio 0.2157
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0100-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size      254, 1187208 req, miss ratio 0.2748, byte miss ratio 0.2748
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size      763, 1187208 req, miss ratio 0.2697, byte miss ratio 0.2697
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size     2543, 1187208 req, miss ratio 0.2573, byte miss ratio 0.2573
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size     7631, 1187208 req, miss ratio 0.2370, byte miss ratio 0.2370
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size    25436, 1187208 req, miss ratio 0.2201, byte miss ratio 0.2201
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size    50873, 1187208 req, miss ratio 0.2162, byte miss ratio 0.2162
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size   101746, 1187208 req, miss ratio 0.2144, byte miss ratio 0.2144
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-1.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size      254, 1187208 req, miss ratio 0.2748, byte miss ratio 0.2748
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size      763, 1187208 req, miss ratio 0.2695, byte miss ratio 0.2695
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     2543, 1187208 req, miss ratio 0.2573, byte miss ratio 0.2573
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size     7631, 1187208 req, miss ratio 0.2368, byte miss ratio 0.2368
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size    25436, 1187208 req, miss ratio 0.2202, byte miss ratio 0.2202
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size    50873, 1187208 req, miss ratio 0.2162, byte miss ratio 0.2162
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size   101746, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7000-1.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size      254, 1187208 req, miss ratio 0.2764, byte miss ratio 0.2764
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size      763, 1187208 req, miss ratio 0.2702, byte miss ratio 0.2702
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size     2543, 1187208 req, miss ratio 0.2541, byte miss ratio 0.2541
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size     7631, 1187208 req, miss ratio 0.2353, byte miss ratio 0.2353
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size    25436, 1187208 req, miss ratio 0.2231, byte miss ratio 0.2231
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size    50873, 1187208 req, miss ratio 0.2173, byte miss ratio 0.2173
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size   101746, 1187208 req, miss ratio 0.2146, byte miss ratio 0.2146
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.2000-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size      254, 1187208 req, miss ratio 0.2748, byte miss ratio 0.2748
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size      763, 1187208 req, miss ratio 0.2697, byte miss ratio 0.2697
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     2543, 1187208 req, miss ratio 0.2572, byte miss ratio 0.2572
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size     7631, 1187208 req, miss ratio 0.2372, byte miss ratio 0.2372
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size    25436, 1187208 req, miss ratio 0.2201, byte miss ratio 0.2201
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size    50873, 1187208 req, miss ratio 0.2162, byte miss ratio 0.2162
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size   101746, 1187208 req, miss ratio 0.2144, byte miss ratio 0.2144
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.7500-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size      254, 1187208 req, miss ratio 0.2750, byte miss ratio 0.2750
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size      763, 1187208 req, miss ratio 0.2693, byte miss ratio 0.2693
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     2543, 1187208 req, miss ratio 0.2569, byte miss ratio 0.2569
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size     7631, 1187208 req, miss ratio 0.2368, byte miss ratio 0.2368
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size    25436, 1187208 req, miss ratio 0.2202, byte miss ratio 0.2202
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size    50873, 1187208 req, miss ratio 0.2163, byte miss ratio 0.2163
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size   101746, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.6500-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size      254, 1187208 req, miss ratio 0.2855, byte miss ratio 0.2855
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size      763, 1187208 req, miss ratio 0.2735, byte miss ratio 0.2735
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     2543, 1187208 req, miss ratio 0.2562, byte miss ratio 0.2562
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size     7631, 1187208 req, miss ratio 0.2381, byte miss ratio 0.2381
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    25436, 1187208 req, miss ratio 0.2258, byte miss ratio 0.2258
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size    50873, 1187208 req, miss ratio 0.2187, byte miss ratio 0.2187
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   101746, 1187208 req, miss ratio 0.2157, byte miss ratio 0.2157
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.0250-0.9000 cache size   203493, 1187208 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size      254, 1187208 req, miss ratio 0.2751, byte miss ratio 0.2751
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size      763, 1187208 req, miss ratio 0.2699, byte miss ratio 0.2699
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size     2543, 1187208 req, miss ratio 0.2576, byte miss ratio 0.2576
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size     7631, 1187208 req, miss ratio 0.2378, byte miss ratio 0.2378
cdn2_sjc.ns192.oracleGeneral.bin.zst S3FIFO-0.8500-1.9000 cache size    25436, 1187208 req, miss ratio 0.2204, byte miss ratio 0.2204
