geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size     1297, 924495397 req, miss ratio 0.4080, byte miss ratio 0.4080
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size     3893, 924495397 req, miss ratio 0.2380, byte miss ratio 0.2380
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size    12977, 924495397 req, miss ratio 0.1327, byte miss ratio 0.1327
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size    38931, 924495397 req, miss ratio 0.0810, byte miss ratio 0.0810
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   129771, 924495397 req, miss ratio 0.0513, byte miss ratio 0.0513
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   259542, 924495397 req, miss ratio 0.0278, byte miss ratio 0.0278
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size   519085, 924495397 req, miss ratio 0.0074, byte miss ratio 0.0074
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0010-1.9000 cache size  1038171, 924495397 req, miss ratio 0.0016, byte miss ratio 0.0016
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size     1297, 924495397 req, miss ratio 0.3613, byte miss ratio 0.3613
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size     3893, 924495397 req, miss ratio 0.2216, byte miss ratio 0.2216
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    12977, 924495397 req, miss ratio 0.1351, byte miss ratio 0.1351
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size    38931, 924495397 req, miss ratio 0.0831, byte miss ratio 0.0831
geouser_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-0.9000 cache size   129771, 924495397 req, miss ratio 0.0551, byte miss ratio 0.0551
