tencentBlock.ns2079 S3FIFO-0.1000-1.9000 cache size   301650, 85128825 req, miss ratio 0.1729, byte miss ratio 0.1729
tencentBlock.ns2079 S3FIFO-0.1000-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1535, byte miss ratio 0.1535
tencentBlock.ns2079 S3FIFO-0.1000-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1398, byte miss ratio 0.1398
tencentBlock.ns2079 S3FIFO-0.1000-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1265, byte miss ratio 0.1265
tencentBlock.ns2079 S3FIFO-0.1000-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.9500-0.9000 cache size    10055, 85128825 req, miss ratio 0.6252, byte miss ratio 0.6252
tencentBlock.ns2079 S3FIFO-0.9500-0.9000 cache size    30165, 85128825 req, miss ratio 0.4825, byte miss ratio 0.4825
tencentBlock.ns2079 S3FIFO-0.9500-0.9000 cache size   100550, 85128825 req, miss ratio 0.2932, byte miss ratio 0.2932
tencentBlock.ns2079 S3FIFO-0.9500-0.9000 cache size   301650, 85128825 req, miss ratio 0.1994, byte miss ratio 0.1994
tencentBlock.ns2079 S3FIFO-0.9500-0.9000 cache size  1005502, 85128825 req, miss ratio 0.1527, byte miss ratio 0.1527
tencentBlock.ns2079 S3FIFO-0.9500-0.9000 cache size  2011004, 85128825 req, miss ratio 0.1354, byte miss ratio 0.1354
tencentBlock.ns2079 S3FIFO-0.9500-0.9000 cache size  4022008, 85128825 req, miss ratio 0.1207, byte miss ratio 0.1207
tencentBlock.ns2079 S3FIFO-0.9500-0.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.2000-1.9000 cache size    10055, 85128825 req, miss ratio 0.5786, byte miss ratio 0.5786
tencentBlock.ns2079 S3FIFO-0.2000-1.9000 cache size    30165, 85128825 req, miss ratio 0.4088, byte miss ratio 0.4088
tencentBlock.ns2079 S3FIFO-0.2000-1.9000 cache size   100550, 85128825 req, miss ratio 0.1924, byte miss ratio 0.1924
tencentBlock.ns2079 S3FIFO-0.2000-1.9000 cache size   301650, 85128825 req, miss ratio 0.1716, byte miss ratio 0.1716
tencentBlock.ns2079 S3FIFO-0.2000-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1525, byte miss ratio 0.1525
tencentBlock.ns2079 S3FIFO-0.2000-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1380, byte miss ratio 0.1380
tencentBlock.ns2079 S3FIFO-0.2000-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1250, byte miss ratio 0.1250
tencentBlock.ns2079 S3FIFO-0.2000-1.9000 cache size  8044017, 85128825 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns2079 S3FIFO-0.7000-1.9000 cache size    10055, 85128825 req, miss ratio 0.6198, byte miss ratio 0.6198
tencentBlock.ns2079 S3FIFO-0.7000-1.9000 cache size    30165, 85128825 req, miss ratio 0.4613, byte miss ratio 0.4613
tencentBlock.ns2079 S3FIFO-0.7000-1.9000 cache size   100550, 85128825 req, miss ratio 0.2542, byte miss ratio 0.2542
tencentBlock.ns2079 S3FIFO-0.7000-1.9000 cache size   301650, 85128825 req, miss ratio 0.1741, byte miss ratio 0.1741
tencentBlock.ns2079 S3FIFO-0.7000-1.9000 cache size  1005502, 85128825 req, miss ratio 0.1499, byte miss ratio 0.1499
tencentBlock.ns2079 S3FIFO-0.7000-1.9000 cache size  2011004, 85128825 req, miss ratio 0.1336, byte miss ratio 0.1336
tencentBlock.ns2079 S3FIFO-0.7000-1.9000 cache size  4022008, 85128825 req, miss ratio 0.1202, byte miss ratio 0.1202
