cdn1_allcolo.ns3642 S3FIFO-0.4000-0.9000 cache size    11144, 1620818 req, miss ratio 0.2300, byte miss ratio 0.2300
cdn1_allcolo.ns3642 S3FIFO-0.4000-0.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.4000-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.4000-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.4000-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.5500-0.9000 cache size      371, 1620818 req, miss ratio 0.2874, byte miss ratio 0.2874
cdn1_allcolo.ns3642 S3FIFO-0.5500-0.9000 cache size     1114, 1620818 req, miss ratio 0.2419, byte miss ratio 0.2419
cdn1_allcolo.ns3642 S3FIFO-0.5500-0.9000 cache size     3714, 1620818 req, miss ratio 0.2318, byte miss ratio 0.2318
cdn1_allcolo.ns3642 S3FIFO-0.5500-0.9000 cache size    11144, 1620818 req, miss ratio 0.2300, byte miss ratio 0.2300
cdn1_allcolo.ns3642 S3FIFO-0.5500-0.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.5500-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.5500-0.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.5500-0.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.6500-1.9000 cache size      371, 1620818 req, miss ratio 0.3014, byte miss ratio 0.3014
cdn1_allcolo.ns3642 S3FIFO-0.6500-1.9000 cache size     1114, 1620818 req, miss ratio 0.2487, byte miss ratio 0.2487
cdn1_allcolo.ns3642 S3FIFO-0.6500-1.9000 cache size     3714, 1620818 req, miss ratio 0.2317, byte miss ratio 0.2317
cdn1_allcolo.ns3642 S3FIFO-0.6500-1.9000 cache size    11144, 1620818 req, miss ratio 0.2300, byte miss ratio 0.2300
cdn1_allcolo.ns3642 S3FIFO-0.6500-1.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.6500-1.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.6500-1.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.6500-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.5500-1.9000 cache size      371, 1620818 req, miss ratio 0.2890, byte miss ratio 0.2890
cdn1_allcolo.ns3642 S3FIFO-0.5500-1.9000 cache size     1114, 1620818 req, miss ratio 0.2420, byte miss ratio 0.2420
cdn1_allcolo.ns3642 S3FIFO-0.5500-1.9000 cache size     3714, 1620818 req, miss ratio 0.2315, byte miss ratio 0.2315
cdn1_allcolo.ns3642 S3FIFO-0.5500-1.9000 cache size    11144, 1620818 req, miss ratio 0.2299, byte miss ratio 0.2299
cdn1_allcolo.ns3642 S3FIFO-0.5500-1.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.5500-1.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
cdn1_allcolo.ns3642 S3FIFO-0.5500-1.9000 cache size   148596, 1620818 req, miss ratio 0.2293, byte miss ratio 0.2293
cdn1_allcolo.ns3642 S3FIFO-0.5500-1.9000 cache size   297193, 1620818 req, miss ratio 0.2292, byte miss ratio 0.2292
cdn1_allcolo.ns3642 S3FIFO-0.1000-0.9000 cache size      371, 1620818 req, miss ratio 0.2571, byte miss ratio 0.2571
cdn1_allcolo.ns3642 S3FIFO-0.1000-0.9000 cache size     1114, 1620818 req, miss ratio 0.2348, byte miss ratio 0.2348
cdn1_allcolo.ns3642 S3FIFO-0.1000-0.9000 cache size     3714, 1620818 req, miss ratio 0.2309, byte miss ratio 0.2309
cdn1_allcolo.ns3642 S3FIFO-0.1000-0.9000 cache size    11144, 1620818 req, miss ratio 0.2300, byte miss ratio 0.2300
cdn1_allcolo.ns3642 S3FIFO-0.1000-0.9000 cache size    37149, 1620818 req, miss ratio 0.2295, byte miss ratio 0.2295
cdn1_allcolo.ns3642 S3FIFO-0.1000-0.9000 cache size    74298, 1620818 req, miss ratio 0.2294, byte miss ratio 0.2294
