web_2.IQI.bin S3FIFO-0.7000-0.9000 cache size   264254, 5175368 req, miss ratio 0.9390, byte miss ratio 0.9390
web_2.IQI.bin S3FIFO-0.7000-0.9000 cache size   528508, 5175368 req, miss ratio 0.8077, byte miss ratio 0.8077
web_2.IQI.bin S3FIFO-0.7000-0.9000 cache size  1057016, 5175368 req, miss ratio 0.4578, byte miss ratio 0.4578
web_2.IQI.bin S3FIFO-0.0050-1.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0050-1.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0050-1.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0050-1.9000 cache size    39638, 5175368 req, miss ratio 0.9817, byte miss ratio 0.9817
web_2.IQI.bin S3FIFO-0.0050-1.9000 cache size   132127, 5175368 req, miss ratio 0.9923, byte miss ratio 0.9923
web_2.IQI.bin S3FIFO-0.0050-1.9000 cache size   264254, 5175368 req, miss ratio 0.9740, byte miss ratio 0.9740
web_2.IQI.bin S3FIFO-0.0050-1.9000 cache size   528508, 5175368 req, miss ratio 0.7191, byte miss ratio 0.7191
web_2.IQI.bin S3FIFO-0.0050-1.9000 cache size  1057016, 5175368 req, miss ratio 0.4185, byte miss ratio 0.4185
web_2.IQI.bin S3FIFO-0.5000-0.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.5000-0.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.5000-0.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.5000-0.9000 cache size    39638, 5175368 req, miss ratio 0.9818, byte miss ratio 0.9818
web_2.IQI.bin S3FIFO-0.5000-0.9000 cache size   132127, 5175368 req, miss ratio 0.9785, byte miss ratio 0.9785
web_2.IQI.bin S3FIFO-0.5000-0.9000 cache size   264254, 5175368 req, miss ratio 0.9491, byte miss ratio 0.9491
web_2.IQI.bin S3FIFO-0.5000-0.9000 cache size   528508, 5175368 req, miss ratio 0.7994, byte miss ratio 0.7994
web_2.IQI.bin S3FIFO-0.5000-0.9000 cache size  1057016, 5175368 req, miss ratio 0.4613, byte miss ratio 0.4613
web_2.IQI.bin S3FIFO-0.0250-1.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0250-1.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0250-1.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0250-1.9000 cache size    39638, 5175368 req, miss ratio 0.9817, byte miss ratio 0.9817
web_2.IQI.bin S3FIFO-0.0250-1.9000 cache size   132127, 5175368 req, miss ratio 0.9923, byte miss ratio 0.9923
web_2.IQI.bin S3FIFO-0.0250-1.9000 cache size   264254, 5175368 req, miss ratio 0.9740, byte miss ratio 0.9740
web_2.IQI.bin S3FIFO-0.0250-1.9000 cache size   528508, 5175368 req, miss ratio 0.7193, byte miss ratio 0.7193
web_2.IQI.bin S3FIFO-0.0250-1.9000 cache size  1057016, 5175368 req, miss ratio 0.4185, byte miss ratio 0.4185
web_2.IQI.bin S3FIFO-0.9000-0.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.9000-0.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.9000-0.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.9000-0.9000 cache size    39638, 5175368 req, miss ratio 0.9926, byte miss ratio 0.9926
web_2.IQI.bin S3FIFO-0.9000-0.9000 cache size   132127, 5175368 req, miss ratio 0.9828, byte miss ratio 0.9828
web_2.IQI.bin S3FIFO-0.9000-0.9000 cache size   264254, 5175368 req, miss ratio 0.9317, byte miss ratio 0.9317
web_2.IQI.bin S3FIFO-0.9000-0.9000 cache size   528508, 5175368 req, miss ratio 0.7855, byte miss ratio 0.7855
web_2.IQI.bin S3FIFO-0.9000-0.9000 cache size  1057016, 5175368 req, miss ratio 0.4170, byte miss ratio 0.4170
web_2.IQI.bin S3FIFO-0.8000-1.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.8000-1.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.8000-1.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.8000-1.9000 cache size    39638, 5175368 req, miss ratio 0.9891, byte miss ratio 0.9891
web_2.IQI.bin S3FIFO-0.8000-1.9000 cache size   132127, 5175368 req, miss ratio 0.9577, byte miss ratio 0.9577
web_2.IQI.bin S3FIFO-0.8000-1.9000 cache size   264254, 5175368 req, miss ratio 0.8621, byte miss ratio 0.8621
web_2.IQI.bin S3FIFO-0.8000-1.9000 cache size   528508, 5175368 req, miss ratio 0.7658, byte miss ratio 0.7658
web_2.IQI.bin S3FIFO-0.8000-1.9000 cache size  1057016, 5175368 req, miss ratio 0.4374, byte miss ratio 0.4374
web_2.IQI.bin S3FIFO-0.4500-0.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.4500-0.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.4500-0.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.4500-0.9000 cache size    39638, 5175368 req, miss ratio 0.9818, byte miss ratio 0.9818
web_2.IQI.bin S3FIFO-0.4500-0.9000 cache size   132127, 5175368 req, miss ratio 0.9785, byte miss ratio 0.9785
web_2.IQI.bin S3FIFO-0.4500-0.9000 cache size   264254, 5175368 req, miss ratio 0.9516, byte miss ratio 0.9516
web_2.IQI.bin S3FIFO-0.4500-0.9000 cache size   528508, 5175368 req, miss ratio 0.7893, byte miss ratio 0.7893
web_2.IQI.bin S3FIFO-0.4500-0.9000 cache size  1057016, 5175368 req, miss ratio 0.4624, byte miss ratio 0.4624
web_2.IQI.bin S3FIFO-0.2000-1.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.2000-1.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.2000-1.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.2000-1.9000 cache size    39638, 5175368 req, miss ratio 0.9817, byte miss ratio 0.9817
web_2.IQI.bin S3FIFO-0.2000-1.9000 cache size   132127, 5175368 req, miss ratio 0.9923, byte miss ratio 0.9923
web_2.IQI.bin S3FIFO-0.2000-1.9000 cache size   264254, 5175368 req, miss ratio 0.9729, byte miss ratio 0.9729
web_2.IQI.bin S3FIFO-0.2000-1.9000 cache size   528508, 5175368 req, miss ratio 0.7666, byte miss ratio 0.7666
web_2.IQI.bin S3FIFO-0.2000-1.9000 cache size  1057016, 5175368 req, miss ratio 0.4361, byte miss ratio 0.4361
web_2.IQI.bin S3FIFO-0.0500-0.9000 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0500-0.9000 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0500-0.9000 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
web_2.IQI.bin S3FIFO-0.0500-0.9000 cache size    39638, 5175368 req, miss ratio 0.9818, byte miss ratio 0.9818
web_2.IQI.bin S3FIFO-0.0500-0.9000 cache size   132127, 5175368 req, miss ratio 0.9785, byte miss ratio 0.9785
web_2.IQI.bin S3FIFO-0.0500-0.9000 cache size   264254, 5175368 req, miss ratio 0.9918, byte miss ratio 0.9918
