src1_1.IQI.bin S3FIFO-0.4500-1.9000 cache size    18511, 45746222 req, miss ratio 0.9591, byte miss ratio 0.9591
src1_1.IQI.bin S3FIFO-0.4500-1.9000 cache size    61705, 45746222 req, miss ratio 0.9239, byte miss ratio 0.9239
src1_1.IQI.bin S3FIFO-0.4500-1.9000 cache size   185117, 45746222 req, miss ratio 0.8912, byte miss ratio 0.8912
src1_1.IQI.bin S3FIFO-0.4500-1.9000 cache size   617059, 45746222 req, miss ratio 0.8413, byte miss ratio 0.8413
src1_1.IQI.bin S3FIFO-0.4500-1.9000 cache size  1234118, 45746222 req, miss ratio 0.7700, byte miss ratio 0.7700
src1_1.IQI.bin S3FIFO-0.4500-1.9000 cache size  2468236, 45746222 req, miss ratio 0.7001, byte miss ratio 0.7001
src1_1.IQI.bin S3FIFO-0.4500-1.9000 cache size  4936472, 45746222 req, miss ratio 0.3463, byte miss ratio 0.3463
src1_1.IQI.bin S3FIFO-0.0100-1.9000 cache size     6170, 45746222 req, miss ratio 0.9876, byte miss ratio 0.9876
src1_1.IQI.bin S3FIFO-0.0100-1.9000 cache size    18511, 45746222 req, miss ratio 0.9742, byte miss ratio 0.9742
src1_1.IQI.bin S3FIFO-0.0100-1.9000 cache size    61705, 45746222 req, miss ratio 0.9539, byte miss ratio 0.9539
src1_1.IQI.bin S3FIFO-0.0100-1.9000 cache size   185117, 45746222 req, miss ratio 0.9304, byte miss ratio 0.9304
src1_1.IQI.bin S3FIFO-0.0100-1.9000 cache size   617059, 45746222 req, miss ratio 0.8702, byte miss ratio 0.8702
src1_1.IQI.bin S3FIFO-0.0100-1.9000 cache size  1234118, 45746222 req, miss ratio 0.6534, byte miss ratio 0.6534
src1_1.IQI.bin S3FIFO-0.0100-1.9000 cache size  2468236, 45746222 req, miss ratio 0.6360, byte miss ratio 0.6360
src1_1.IQI.bin S3FIFO-0.0100-1.9000 cache size  4936472, 45746222 req, miss ratio 0.2436, byte miss ratio 0.2436
src1_1.IQI.bin S3FIFO-0.9900-0.9000 cache size     6170, 45746222 req, miss ratio 0.9707, byte miss ratio 0.9707
src1_1.IQI.bin S3FIFO-0.9900-0.9000 cache size    18511, 45746222 req, miss ratio 0.9516, byte miss ratio 0.9516
