observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   111491, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   222983, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   445966, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   891933, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size     1114, 14338243 req, miss ratio 0.1003, byte miss ratio 0.1003
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size     3344, 14338243 req, miss ratio 0.0790, byte miss ratio 0.0790
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    11149, 14338243 req, miss ratio 0.0780, byte miss ratio 0.0780
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size    33447, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   111491, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   222983, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   445966, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-1.9000 cache size   891933, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size     1114, 14338243 req, miss ratio 0.0988, byte miss ratio 0.0988
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size     3344, 14338243 req, miss ratio 0.0790, byte miss ratio 0.0790
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    11149, 14338243 req, miss ratio 0.0782, byte miss ratio 0.0782
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size    33447, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   111491, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   222983, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   445966, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   891933, 14338243 req, miss ratio 0.0778, byte miss ratio 0.0778
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size     1114, 14338243 req, miss ratio 0.0988, byte miss ratio 0.0988
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size     3344, 14338243 req, miss ratio 0.0790, byte miss ratio 0.0790
observability_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    11149, 14338243 req, miss ratio 0.0782, byte miss ratio 0.0782
