events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    85424, 51757858 req, miss ratio 0.0028, byte miss ratio 0.0028
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size      106, 51757858 req, miss ratio 0.2465, byte miss ratio 0.2465
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size      320, 51757858 req, miss ratio 0.0890, byte miss ratio 0.0890
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size     1067, 51757858 req, miss ratio 0.0596, byte miss ratio 0.0596
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size     3203, 51757858 req, miss ratio 0.0523, byte miss ratio 0.0523
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size    10678, 51757858 req, miss ratio 0.0354, byte miss ratio 0.0354
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size    21356, 51757858 req, miss ratio 0.0293, byte miss ratio 0.0293
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size    42712, 51757858 req, miss ratio 0.0152, byte miss ratio 0.0152
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size    85424, 51757858 req, miss ratio 0.0033, byte miss ratio 0.0033
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size      106, 51757858 req, miss ratio 0.1644, byte miss ratio 0.1644
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size      320, 51757858 req, miss ratio 0.0623, byte miss ratio 0.0623
events_recos_prod_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3000-0.9000 cache size     1067, 51757858 req, miss ratio 0.0545, byte miss ratio 0.0545
