cdn1_allcolo.ns2378 S3FIFO-0.6000-0.9000 cache size     3532, 4253977 req, miss ratio 0.3817, byte miss ratio 0.3817
cdn1_allcolo.ns2378 S3FIFO-0.6000-0.9000 cache size    11775, 4253977 req, miss ratio 0.3519, byte miss ratio 0.3519
cdn1_allcolo.ns2378 S3FIFO-0.6000-0.9000 cache size    35325, 4253977 req, miss ratio 0.3269, byte miss ratio 0.3269
cdn1_allcolo.ns2378 S3FIFO-0.6000-0.9000 cache size   117751, 4253977 req, miss ratio 0.3003, byte miss ratio 0.3003
cdn1_allcolo.ns2378 S3FIFO-0.6000-0.9000 cache size   235503, 4253977 req, miss ratio 0.2883, byte miss ratio 0.2883
cdn1_allcolo.ns2378 S3FIFO-0.6000-0.9000 cache size   471007, 4253977 req, miss ratio 0.2807, byte miss ratio 0.2807
cdn1_allcolo.ns2378 S3FIFO-0.6000-0.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.9900-1.9000 cache size     1177, 4253977 req, miss ratio 0.4497, byte miss ratio 0.4497
cdn1_allcolo.ns2378 S3FIFO-0.9900-1.9000 cache size     3532, 4253977 req, miss ratio 0.4086, byte miss ratio 0.4086
cdn1_allcolo.ns2378 S3FIFO-0.9900-1.9000 cache size    11775, 4253977 req, miss ratio 0.3737, byte miss ratio 0.3737
cdn1_allcolo.ns2378 S3FIFO-0.9900-1.9000 cache size    35325, 4253977 req, miss ratio 0.3467, byte miss ratio 0.3467
cdn1_allcolo.ns2378 S3FIFO-0.9900-1.9000 cache size   117751, 4253977 req, miss ratio 0.3188, byte miss ratio 0.3188
cdn1_allcolo.ns2378 S3FIFO-0.9900-1.9000 cache size   235503, 4253977 req, miss ratio 0.3021, byte miss ratio 0.3021
cdn1_allcolo.ns2378 S3FIFO-0.9900-1.9000 cache size   471007, 4253977 req, miss ratio 0.2890, byte miss ratio 0.2890
cdn1_allcolo.ns2378 S3FIFO-0.9900-1.9000 cache size   942014, 4253977 req, miss ratio 0.2796, byte miss ratio 0.2796
