result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.0500-0.9000-clock2-2 cache size  1698213, 335173084 req, miss ratio 0.0759, byte miss ratio 0.0759
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.0500-0.9000-clock2-2 cache size  3396426, 335173084 req, miss ratio 0.0633, byte miss ratio 0.0633
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.0500-0.9000-clock2-2 cache size  6792852, 335173084 req, miss ratio 0.0555, byte miss ratio 0.0555
result/meta_kvcache_traces_1.oracleGeneral.bin.zst QDLPv1-0.0500-0.9000-clock2-2 cache size 13585704, 335173084 req, miss ratio 0.0511, byte miss ratio 0.0511
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO cache size    16982, 335173084 req, miss ratio 0.2861, byte miss ratio 0.2861
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO cache size    50946, 335173084 req, miss ratio 0.2182, byte miss ratio 0.2182
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO cache size   169821, 335173084 req, miss ratio 0.1552, byte miss ratio 0.1552
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO cache size   509463, 335173084 req, miss ratio 0.1098, byte miss ratio 0.1098
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO cache size  1698213, 335173084 req, miss ratio 0.0755, byte miss ratio 0.0755
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO cache size  3396426, 335173084 req, miss ratio 0.0631, byte miss ratio 0.0631
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO cache size  6792852, 335173084 req, miss ratio 0.0555, byte miss ratio 0.0555
result/meta_kvcache_traces_1.oracleGeneral.bin.zst S3FIFO cache size 13585704, 335173084 req, miss ratio 0.0511, byte miss ratio 0.0511
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    16982, 335173084 req, miss ratio 0.2901, byte miss ratio 0.2901
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    50946, 335173084 req, miss ratio 0.2320, byte miss ratio 0.2320
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   169821, 335173084 req, miss ratio 0.1654, byte miss ratio 0.1654
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   509463, 335173084 req, miss ratio 0.1204, byte miss ratio 0.1204
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  1698213, 335173084 req, miss ratio 0.0853, byte miss ratio 0.0853
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  3396426, 335173084 req, miss ratio 0.0725, byte miss ratio 0.0725
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  6792852, 335173084 req, miss ratio 0.0612, byte miss ratio 0.0612
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size 13585704, 335173084 req, miss ratio 0.0526, byte miss ratio 0.0526
result/meta_kvcache_traces_1.oracleGeneral.bin.zst            FIFO_Merge_FREQUENCY cache size    16982, 335173084 req, miss ratio 0.3175, byte miss ratio 0.3175
result/meta_kvcache_traces_1.oracleGeneral.bin.zst            FIFO_Merge_FREQUENCY cache size    50946, 335173084 req, miss ratio 0.2499, byte miss ratio 0.2499
result/meta_kvcache_traces_1.oracleGeneral.bin.zst            FIFO_Merge_FREQUENCY cache size   169821, 335173084 req, miss ratio 0.1781, byte miss ratio 0.1781
result/meta_kvcache_traces_1.oracleGeneral.bin.zst            FIFO_Merge_FREQUENCY cache size   509463, 335173084 req, miss ratio 0.1242, byte miss ratio 0.1242
result/meta_kvcache_traces_1.oracleGeneral.bin.zst            FIFO_Merge_FREQUENCY cache size  1698213, 335173084 req, miss ratio 0.0835, byte miss ratio 0.0835
result/meta_kvcache_traces_1.oracleGeneral.bin.zst            FIFO_Merge_FREQUENCY cache size  3396426, 335173084 req, miss ratio 0.0679, byte miss ratio 0.0679
result/meta_kvcache_traces_1.oracleGeneral.bin.zst            FIFO_Merge_FREQUENCY cache size  6792852, 335173084 req, miss ratio 0.0564, byte miss ratio 0.0564
result/meta_kvcache_traces_1.oracleGeneral.bin.zst            FIFO_Merge_FREQUENCY cache size 13585704, 335173084 req, miss ratio 0.0512, byte miss ratio 0.0512
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    16982, 335173084 req, miss ratio 0.2827, byte miss ratio 0.2827
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    50946, 335173084 req, miss ratio 0.2185, byte miss ratio 0.2185
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   169821, 335173084 req, miss ratio 0.1586, byte miss ratio 0.1586
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   509463, 335173084 req, miss ratio 0.1155, byte miss ratio 0.1155
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  1698213, 335173084 req, miss ratio 0.0825, byte miss ratio 0.0825
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  3396426, 335173084 req, miss ratio 0.0705, byte miss ratio 0.0705
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  6792852, 335173084 req, miss ratio 0.0605, byte miss ratio 0.0605
result/meta_kvcache_traces_1.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size 13585704, 335173084 req, miss ratio 0.0527, byte miss ratio 0.0527
