result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO cache size      681, 2458306 req, miss ratio 0.1537, byte miss ratio 0.1537
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO cache size     2044, 2458306 req, miss ratio 0.1243, byte miss ratio 0.1243
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO cache size     6815, 2458306 req, miss ratio 0.0974, byte miss ratio 0.0974
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO cache size    13630, 2458306 req, miss ratio 0.0799, byte miss ratio 0.0799
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO cache size    27261, 2458306 req, miss ratio 0.0537, byte miss ratio 0.0537
result/tencentBlock.ns12248.oracleGeneral.zst S3FIFO cache size    54523, 2458306 req, miss ratio 0.0295, byte miss ratio 0.0295
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       68, 2458306 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      204, 2458306 req, miss ratio 0.2542, byte miss ratio 0.2542
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      681, 2458306 req, miss ratio 0.2151, byte miss ratio 0.2151
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2044, 2458306 req, miss ratio 0.1272, byte miss ratio 0.1272
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6815, 2458306 req, miss ratio 0.0972, byte miss ratio 0.0972
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13630, 2458306 req, miss ratio 0.0781, byte miss ratio 0.0781
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    27261, 2458306 req, miss ratio 0.0498, byte miss ratio 0.0498
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    54523, 2458306 req, miss ratio 0.0293, byte miss ratio 0.0293
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       68, 2458306 req, miss ratio 0.2994, byte miss ratio 0.2994
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      204, 2458306 req, miss ratio 0.2089, byte miss ratio 0.2089
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      681, 2458306 req, miss ratio 0.1530, byte miss ratio 0.1530
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2044, 2458306 req, miss ratio 0.1230, byte miss ratio 0.1230
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6815, 2458306 req, miss ratio 0.0960, byte miss ratio 0.0960
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13630, 2458306 req, miss ratio 0.0791, byte miss ratio 0.0791
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    27261, 2458306 req, miss ratio 0.0523, byte miss ratio 0.0523
result/tencentBlock.ns12248.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    54523, 2458306 req, miss ratio 0.0304, byte miss ratio 0.0304
