result/cdn2_colo28.ns1004.oracleGeneral.zst TwoQ cache size   156925, 4558740 req, miss ratio 0.0957, byte miss ratio 0.0957
result/cdn2_colo28.ns1004.oracleGeneral.zst TwoQ cache size   313850, 4558740 req, miss ratio 0.0888, byte miss ratio 0.0888
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      392, 4558740 req, miss ratio 0.1780, byte miss ratio 0.1780
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1176, 4558740 req, miss ratio 0.1663, byte miss ratio 0.1663
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3923, 4558740 req, miss ratio 0.1511, byte miss ratio 0.1511
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11769, 4558740 req, miss ratio 0.1341, byte miss ratio 0.1341
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    39231, 4558740 req, miss ratio 0.1119, byte miss ratio 0.1119
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    78462, 4558740 req, miss ratio 0.1001, byte miss ratio 0.1001
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   156925, 4558740 req, miss ratio 0.0914, byte miss ratio 0.0914
result/cdn2_colo28.ns1004.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   313850, 4558740 req, miss ratio 0.0870, byte miss ratio 0.0870
result/cdn2_colo28.ns1004.oracleGeneral.zst S4LRU(25:25:25:25) cache size      392, 4558740 req, miss ratio 0.1713, byte miss ratio 0.1713
result/cdn2_colo28.ns1004.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1176, 4558740 req, miss ratio 0.1600, byte miss ratio 0.1600
result/cdn2_colo28.ns1004.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3923, 4558740 req, miss ratio 0.1448, byte miss ratio 0.1448
result/cdn2_colo28.ns1004.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11769, 4558740 req, miss ratio 0.1277, byte miss ratio 0.1277
result/cdn2_colo28.ns1004.oracleGeneral.zst S4LRU(25:25:25:25) cache size    39231, 4558740 req, miss ratio 0.1085, byte miss ratio 0.1085
result/cdn2_colo28.ns1004.oracleGeneral.zst S4LRU(25:25:25:25) cache size    78462, 4558740 req, miss ratio 0.0986, byte miss ratio 0.0986
result/cdn2_colo28.ns1004.oracleGeneral.zst S4LRU(25:25:25:25) cache size   156925, 4558740 req, miss ratio 0.0912, byte miss ratio 0.0912
result/cdn2_colo28.ns1004.oracleGeneral.zst S4LRU(25:25:25:25) cache size   313850, 4558740 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO cache size      392, 4558740 req, miss ratio 0.1691, byte miss ratio 0.1691
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO cache size     1176, 4558740 req, miss ratio 0.1578, byte miss ratio 0.1578
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO cache size     3923, 4558740 req, miss ratio 0.1420, byte miss ratio 0.1420
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO cache size    11769, 4558740 req, miss ratio 0.1248, byte miss ratio 0.1248
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO cache size    39231, 4558740 req, miss ratio 0.1065, byte miss ratio 0.1065
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO cache size    78462, 4558740 req, miss ratio 0.0981, byte miss ratio 0.0981
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO cache size   156925, 4558740 req, miss ratio 0.0916, byte miss ratio 0.0916
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO cache size   313850, 4558740 req, miss ratio 0.0866, byte miss ratio 0.0866
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d cache size      392, 4558740 req, miss ratio 0.1696, byte miss ratio 0.1696
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d cache size     1176, 4558740 req, miss ratio 0.1577, byte miss ratio 0.1577
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d cache size     3923, 4558740 req, miss ratio 0.1420, byte miss ratio 0.1420
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d cache size    11769, 4558740 req, miss ratio 0.1248, byte miss ratio 0.1248
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d cache size    39231, 4558740 req, miss ratio 0.1065, byte miss ratio 0.1065
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d cache size    78462, 4558740 req, miss ratio 0.0981, byte miss ratio 0.0981
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d cache size   156925, 4558740 req, miss ratio 0.0916, byte miss ratio 0.0916
result/cdn2_colo28.ns1004.oracleGeneral.zst S3FIFO-d cache size   313850, 4558740 req, miss ratio 0.0866, byte miss ratio 0.0866
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      392, 4558740 req, miss ratio 0.1705, byte miss ratio 0.1705
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1176, 4558740 req, miss ratio 0.1601, byte miss ratio 0.1601
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3923, 4558740 req, miss ratio 0.1457, byte miss ratio 0.1457
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11769, 4558740 req, miss ratio 0.1305, byte miss ratio 0.1305
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    39231, 4558740 req, miss ratio 0.1131, byte miss ratio 0.1131
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    78462, 4558740 req, miss ratio 0.1032, byte miss ratio 0.1032
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   156925, 4558740 req, miss ratio 0.0953, byte miss ratio 0.0953
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   313850, 4558740 req, miss ratio 0.0877, byte miss ratio 0.0877
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      392, 4558740 req, miss ratio 0.1698, byte miss ratio 0.1698
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1176, 4558740 req, miss ratio 0.1586, byte miss ratio 0.1586
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3923, 4558740 req, miss ratio 0.1437, byte miss ratio 0.1437
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11769, 4558740 req, miss ratio 0.1287, byte miss ratio 0.1287
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    39231, 4558740 req, miss ratio 0.1117, byte miss ratio 0.1117
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    78462, 4558740 req, miss ratio 0.1025, byte miss ratio 0.1025
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   156925, 4558740 req, miss ratio 0.0953, byte miss ratio 0.0953
result/cdn2_colo28.ns1004.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   313850, 4558740 req, miss ratio 0.0885, byte miss ratio 0.0885
