result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size      439, 3993316 req, miss ratio 0.4888, byte miss ratio 0.4888
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size     1317, 3993316 req, miss ratio 0.4512, byte miss ratio 0.4512
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size     4391, 3993316 req, miss ratio 0.3987, byte miss ratio 0.3987
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size    13175, 3993316 req, miss ratio 0.3510, byte miss ratio 0.3510
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size    43918, 3993316 req, miss ratio 0.2900, byte miss ratio 0.2900
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size    87837, 3993316 req, miss ratio 0.2380, byte miss ratio 0.2380
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size   175674, 3993316 req, miss ratio 0.1743, byte miss ratio 0.1743
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d cache size   351349, 3993316 req, miss ratio 0.1217, byte miss ratio 0.1217
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO cache size      439, 3993316 req, miss ratio 0.4910, byte miss ratio 0.4910
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO cache size     1317, 3993316 req, miss ratio 0.4506, byte miss ratio 0.4506
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO cache size     4391, 3993316 req, miss ratio 0.3988, byte miss ratio 0.3988
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO cache size    13175, 3993316 req, miss ratio 0.3508, byte miss ratio 0.3508
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO cache size    43918, 3993316 req, miss ratio 0.2891, byte miss ratio 0.2891
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO cache size    87837, 3993316 req, miss ratio 0.2356, byte miss ratio 0.2356
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO cache size   175674, 3993316 req, miss ratio 0.1755, byte miss ratio 0.1755
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO cache size   351349, 3993316 req, miss ratio 0.1217, byte miss ratio 0.1217
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      439, 3993316 req, miss ratio 0.5144, byte miss ratio 0.5144
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1317, 3993316 req, miss ratio 0.4589, byte miss ratio 0.4589
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4391, 3993316 req, miss ratio 0.4080, byte miss ratio 0.4080
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13175, 3993316 req, miss ratio 0.3590, byte miss ratio 0.3590
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    43918, 3993316 req, miss ratio 0.2914, byte miss ratio 0.2914
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    87837, 3993316 req, miss ratio 0.2345, byte miss ratio 0.2345
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   175674, 3993316 req, miss ratio 0.1746, byte miss ratio 0.1746
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   351349, 3993316 req, miss ratio 0.1236, byte miss ratio 0.1236
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      439, 3993316 req, miss ratio 0.4908, byte miss ratio 0.4908
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1317, 3993316 req, miss ratio 0.4530, byte miss ratio 0.4530
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4391, 3993316 req, miss ratio 0.4042, byte miss ratio 0.4042
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13175, 3993316 req, miss ratio 0.3555, byte miss ratio 0.3555
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    43918, 3993316 req, miss ratio 0.2906, byte miss ratio 0.2906
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    87837, 3993316 req, miss ratio 0.2360, byte miss ratio 0.2360
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   175674, 3993316 req, miss ratio 0.1756, byte miss ratio 0.1756
result/hm_0.IQI.bin.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   351349, 3993316 req, miss ratio 0.1259, byte miss ratio 0.1259
