result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22528, 18918362 req, miss ratio 0.8602, byte miss ratio 0.8602
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    67584, 18918362 req, miss ratio 0.8005, byte miss ratio 0.8005
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   225282, 18918362 req, miss ratio 0.7147, byte miss ratio 0.7147
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   450564, 18918362 req, miss ratio 0.6138, byte miss ratio 0.6138
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   901128, 18918362 req, miss ratio 0.3990, byte miss ratio 0.3990
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1802257, 18918362 req, miss ratio 0.1259, byte miss ratio 0.1259
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2252, 18918362 req, miss ratio 0.9248, byte miss ratio 0.9248
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6758, 18918362 req, miss ratio 0.9065, byte miss ratio 0.9065
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22528, 18918362 req, miss ratio 0.8653, byte miss ratio 0.8653
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    67584, 18918362 req, miss ratio 0.8050, byte miss ratio 0.8050
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   225282, 18918362 req, miss ratio 0.7320, byte miss ratio 0.7320
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   450564, 18918362 req, miss ratio 0.6309, byte miss ratio 0.6309
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   901128, 18918362 req, miss ratio 0.4310, byte miss ratio 0.4310
result/tencentBlock.ns2009.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1802257, 18918362 req, miss ratio 0.1311, byte miss ratio 0.1311
