result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d cache size      163, 1573928 req, miss ratio 0.1468, byte miss ratio 0.1468
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d cache size      545, 1573928 req, miss ratio 0.1279, byte miss ratio 0.1279
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d cache size     1635, 1573928 req, miss ratio 0.1089, byte miss ratio 0.1089
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d cache size     5452, 1573928 req, miss ratio 0.0920, byte miss ratio 0.0920
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d cache size    10904, 1573928 req, miss ratio 0.0808, byte miss ratio 0.0808
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d cache size    21808, 1573928 req, miss ratio 0.0555, byte miss ratio 0.0555
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d cache size    43616, 1573928 req, miss ratio 0.0377, byte miss ratio 0.0377
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO cache size       54, 1573928 req, miss ratio 0.2224, byte miss ratio 0.2224
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO cache size      163, 1573928 req, miss ratio 0.1473, byte miss ratio 0.1473
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO cache size      545, 1573928 req, miss ratio 0.1285, byte miss ratio 0.1285
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO cache size     1635, 1573928 req, miss ratio 0.1090, byte miss ratio 0.1090
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO cache size     5452, 1573928 req, miss ratio 0.0920, byte miss ratio 0.0920
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO cache size    10904, 1573928 req, miss ratio 0.0808, byte miss ratio 0.0808
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO cache size    21808, 1573928 req, miss ratio 0.0553, byte miss ratio 0.0553
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO cache size    43616, 1573928 req, miss ratio 0.0377, byte miss ratio 0.0377
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       54, 1573928 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      163, 1573928 req, miss ratio 0.2645, byte miss ratio 0.2645
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      545, 1573928 req, miss ratio 0.2011, byte miss ratio 0.2011
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1635, 1573928 req, miss ratio 0.1082, byte miss ratio 0.1082
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5452, 1573928 req, miss ratio 0.0875, byte miss ratio 0.0875
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10904, 1573928 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21808, 1573928 req, miss ratio 0.0467, byte miss ratio 0.0467
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    43616, 1573928 req, miss ratio 0.0361, byte miss ratio 0.0361
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       54, 1573928 req, miss ratio 0.2655, byte miss ratio 0.2655
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      163, 1573928 req, miss ratio 0.1566, byte miss ratio 0.1566
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      545, 1573928 req, miss ratio 0.1190, byte miss ratio 0.1190
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1635, 1573928 req, miss ratio 0.1009, byte miss ratio 0.1009
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5452, 1573928 req, miss ratio 0.0866, byte miss ratio 0.0866
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10904, 1573928 req, miss ratio 0.0717, byte miss ratio 0.0717
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21808, 1573928 req, miss ratio 0.0474, byte miss ratio 0.0474
result/tencentBlock.ns11753.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    43616, 1573928 req, miss ratio 0.0375, byte miss ratio 0.0375
