result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO cache size   182572, 9434426 req, miss ratio 0.7311, byte miss ratio 0.7311
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO cache size   608575, 9434426 req, miss ratio 0.6934, byte miss ratio 0.6934
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO cache size  1217151, 9434426 req, miss ratio 0.6729, byte miss ratio 0.6729
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO cache size  2434303, 9434426 req, miss ratio 0.6596, byte miss ratio 0.6596
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO cache size  4868606, 9434426 req, miss ratio 0.6461, byte miss ratio 0.6461
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d cache size     6085, 9434426 req, miss ratio 0.8082, byte miss ratio 0.8082
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d cache size    18257, 9434426 req, miss ratio 0.7840, byte miss ratio 0.7840
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d cache size    60857, 9434426 req, miss ratio 0.7564, byte miss ratio 0.7564
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d cache size   182572, 9434426 req, miss ratio 0.7307, byte miss ratio 0.7307
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d cache size   608575, 9434426 req, miss ratio 0.6934, byte miss ratio 0.6934
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d cache size  1217151, 9434426 req, miss ratio 0.6729, byte miss ratio 0.6729
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d cache size  2434303, 9434426 req, miss ratio 0.6596, byte miss ratio 0.6596
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d cache size  4868606, 9434426 req, miss ratio 0.6461, byte miss ratio 0.6461
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6085, 9434426 req, miss ratio 0.8570, byte miss ratio 0.8570
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18257, 9434426 req, miss ratio 0.8278, byte miss ratio 0.8278
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    60857, 9434426 req, miss ratio 0.7896, byte miss ratio 0.7896
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   182572, 9434426 req, miss ratio 0.7620, byte miss ratio 0.7620
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   608575, 9434426 req, miss ratio 0.7319, byte miss ratio 0.7319
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1217151, 9434426 req, miss ratio 0.7062, byte miss ratio 0.7062
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2434303, 9434426 req, miss ratio 0.6844, byte miss ratio 0.6844
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  4868606, 9434426 req, miss ratio 0.6511, byte miss ratio 0.6511
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6085, 9434426 req, miss ratio 0.8265, byte miss ratio 0.8265
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18257, 9434426 req, miss ratio 0.8032, byte miss ratio 0.8032
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    60857, 9434426 req, miss ratio 0.7812, byte miss ratio 0.7812
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   182572, 9434426 req, miss ratio 0.7558, byte miss ratio 0.7558
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   608575, 9434426 req, miss ratio 0.7237, byte miss ratio 0.7237
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1217151, 9434426 req, miss ratio 0.6984, byte miss ratio 0.6984
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2434303, 9434426 req, miss ratio 0.6783, byte miss ratio 0.6783
result/cdn2_colo28.ns290.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  4868606, 9434426 req, miss ratio 0.6493, byte miss ratio 0.6493
