result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d cache size      119, 3402055 req, miss ratio 0.3886, byte miss ratio 0.3886
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d cache size      359, 3402055 req, miss ratio 0.1901, byte miss ratio 0.1901
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d cache size     1199, 3402055 req, miss ratio 0.1615, byte miss ratio 0.1615
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d cache size     3597, 3402055 req, miss ratio 0.1396, byte miss ratio 0.1396
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d cache size    11992, 3402055 req, miss ratio 0.1279, byte miss ratio 0.1279
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d cache size    23985, 3402055 req, miss ratio 0.1115, byte miss ratio 0.1115
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d cache size    47970, 3402055 req, miss ratio 0.0768, byte miss ratio 0.0768
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d cache size    95940, 3402055 req, miss ratio 0.0373, byte miss ratio 0.0373
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      119, 3402055 req, miss ratio 0.3221, byte miss ratio 0.3221
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      359, 3402055 req, miss ratio 0.2443, byte miss ratio 0.2443
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1199, 3402055 req, miss ratio 0.1854, byte miss ratio 0.1854
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3597, 3402055 req, miss ratio 0.1502, byte miss ratio 0.1502
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11992, 3402055 req, miss ratio 0.1268, byte miss ratio 0.1268
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    23985, 3402055 req, miss ratio 0.1019, byte miss ratio 0.1019
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    47970, 3402055 req, miss ratio 0.0611, byte miss ratio 0.0611
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    95940, 3402055 req, miss ratio 0.0369, byte miss ratio 0.0369
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      119, 3402055 req, miss ratio 0.3095, byte miss ratio 0.3095
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      359, 3402055 req, miss ratio 0.2030, byte miss ratio 0.2030
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1199, 3402055 req, miss ratio 0.1674, byte miss ratio 0.1674
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3597, 3402055 req, miss ratio 0.1401, byte miss ratio 0.1401
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11992, 3402055 req, miss ratio 0.1209, byte miss ratio 0.1209
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    23985, 3402055 req, miss ratio 0.1000, byte miss ratio 0.1000
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    47970, 3402055 req, miss ratio 0.0643, byte miss ratio 0.0643
result/tencentBlock.ns3799.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    95940, 3402055 req, miss ratio 0.0367, byte miss ratio 0.0367
