result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  2698792, 468248714 req, miss ratio 0.0330, byte miss ratio 0.0330
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d cache size  5397585, 468248714 req, miss ratio 0.0152, byte miss ratio 0.0152
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     6746, 468248714 req, miss ratio 0.4548, byte miss ratio 0.4548
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    20240, 468248714 req, miss ratio 0.3390, byte miss ratio 0.3390
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    67469, 468248714 req, miss ratio 0.2798, byte miss ratio 0.2798
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   202409, 468248714 req, miss ratio 0.1821, byte miss ratio 0.1821
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   674698, 468248714 req, miss ratio 0.0778, byte miss ratio 0.0778
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1349396, 468248714 req, miss ratio 0.0480, byte miss ratio 0.0480
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  2698792, 468248714 req, miss ratio 0.0262, byte miss ratio 0.0262
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  5397585, 468248714 req, miss ratio 0.0155, byte miss ratio 0.0155
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     6746, 468248714 req, miss ratio 0.4463, byte miss ratio 0.4463
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    20240, 468248714 req, miss ratio 0.3243, byte miss ratio 0.3243
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    67469, 468248714 req, miss ratio 0.2138, byte miss ratio 0.2138
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   202409, 468248714 req, miss ratio 0.1376, byte miss ratio 0.1376
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   674698, 468248714 req, miss ratio 0.0760, byte miss ratio 0.0760
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1349396, 468248714 req, miss ratio 0.0482, byte miss ratio 0.0482
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  2698792, 468248714 req, miss ratio 0.0259, byte miss ratio 0.0259
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  5397585, 468248714 req, miss ratio 0.0160, byte miss ratio 0.0160
