result/io_traces.ns453.oracleGeneral.zst S3FIFO cache size    14954, 2600000 req, miss ratio 0.3520, byte miss ratio 0.3520
result/io_traces.ns453.oracleGeneral.zst S3FIFO cache size    29908, 2600000 req, miss ratio 0.1203, byte miss ratio 0.1203
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d cache size       37, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d cache size      373, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d cache size     1121, 2600000 req, miss ratio 0.8604, byte miss ratio 0.8604
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d cache size     3738, 2600000 req, miss ratio 0.4928, byte miss ratio 0.4928
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d cache size     7477, 2600000 req, miss ratio 0.4390, byte miss ratio 0.4390
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d cache size    14954, 2600000 req, miss ratio 0.3404, byte miss ratio 0.3404
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d cache size    29908, 2600000 req, miss ratio 0.1194, byte miss ratio 0.1194
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       37, 2600000 req, miss ratio 1.0000, byte miss ratio 1.0000
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      112, 2600000 req, miss ratio 0.9686, byte miss ratio 0.9686
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      373, 2600000 req, miss ratio 0.9190, byte miss ratio 0.9190
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1121, 2600000 req, miss ratio 0.7972, byte miss ratio 0.7972
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3738, 2600000 req, miss ratio 0.5107, byte miss ratio 0.5107
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7477, 2600000 req, miss ratio 0.4342, byte miss ratio 0.4342
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14954, 2600000 req, miss ratio 0.3325, byte miss ratio 0.3325
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    29908, 2600000 req, miss ratio 0.1174, byte miss ratio 0.1174
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       37, 2600000 req, miss ratio 0.9785, byte miss ratio 0.9785
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      112, 2600000 req, miss ratio 0.9679, byte miss ratio 0.9679
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      373, 2600000 req, miss ratio 0.9307, byte miss ratio 0.9307
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1121, 2600000 req, miss ratio 0.8213, byte miss ratio 0.8213
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3738, 2600000 req, miss ratio 0.5426, byte miss ratio 0.5426
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7477, 2600000 req, miss ratio 0.4552, byte miss ratio 0.4552
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14954, 2600000 req, miss ratio 0.3435, byte miss ratio 0.3435
result/io_traces.ns453.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    29908, 2600000 req, miss ratio 0.1183, byte miss ratio 0.1183
