result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   301309, 2676544 req, miss ratio 0.6086, byte miss ratio 0.6086
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   602618, 2676544 req, miss ratio 0.5861, byte miss ratio 0.5861
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size  1205237, 2676544 req, miss ratio 0.5650, byte miss ratio 0.5650
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1506, 2676544 req, miss ratio 0.7070, byte miss ratio 0.7070
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     4519, 2676544 req, miss ratio 0.6747, byte miss ratio 0.6747
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    15065, 2676544 req, miss ratio 0.6385, byte miss ratio 0.6385
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    45196, 2676544 req, miss ratio 0.6145, byte miss ratio 0.6145
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   150654, 2676544 req, miss ratio 0.5936, byte miss ratio 0.5936
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   301309, 2676544 req, miss ratio 0.5815, byte miss ratio 0.5815
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   602618, 2676544 req, miss ratio 0.5679, byte miss ratio 0.5679
result/cdn1_lax.ns93.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size  1205237, 2676544 req, miss ratio 0.5630, byte miss ratio 0.5630
