result/cdn1_sjc.ns764.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    74118, 1232453 req, miss ratio 0.4384, byte miss ratio 0.4384
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   148237, 1232453 req, miss ratio 0.3508, byte miss ratio 0.3508
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   296474, 1232453 req, miss ratio 0.3034, byte miss ratio 0.3034
result/cdn1_sjc.ns764.oracleGeneral.bin.zst B-LRU cache size      370, 1232453 req, miss ratio 0.8587, byte miss ratio 0.8587
result/cdn1_sjc.ns764.oracleGeneral.bin.zst B-LRU cache size     1111, 1232453 req, miss ratio 0.8324, byte miss ratio 0.8324
result/cdn1_sjc.ns764.oracleGeneral.bin.zst B-LRU cache size     3705, 1232453 req, miss ratio 0.7783, byte miss ratio 0.7783
result/cdn1_sjc.ns764.oracleGeneral.bin.zst B-LRU cache size    11117, 1232453 req, miss ratio 0.7000, byte miss ratio 0.7000
result/cdn1_sjc.ns764.oracleGeneral.bin.zst B-LRU cache size    37059, 1232453 req, miss ratio 0.5855, byte miss ratio 0.5855
result/cdn1_sjc.ns764.oracleGeneral.bin.zst B-LRU cache size    74118, 1232453 req, miss ratio 0.5045, byte miss ratio 0.5045
result/cdn1_sjc.ns764.oracleGeneral.bin.zst B-LRU cache size   148237, 1232453 req, miss ratio 0.4503, byte miss ratio 0.4503
result/cdn1_sjc.ns764.oracleGeneral.bin.zst B-LRU cache size   296474, 1232453 req, miss ratio 0.4483, byte miss ratio 0.4483
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO cache size      370, 1232453 req, miss ratio 0.8557, byte miss ratio 0.8557
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO cache size     1111, 1232453 req, miss ratio 0.8223, byte miss ratio 0.8223
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO cache size     3705, 1232453 req, miss ratio 0.7654, byte miss ratio 0.7654
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO cache size    11117, 1232453 req, miss ratio 0.6797, byte miss ratio 0.6797
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO cache size    37059, 1232453 req, miss ratio 0.5249, byte miss ratio 0.5249
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO cache size    74118, 1232453 req, miss ratio 0.4250, byte miss ratio 0.4250
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO cache size   148237, 1232453 req, miss ratio 0.3521, byte miss ratio 0.3521
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO cache size   296474, 1232453 req, miss ratio 0.3040, byte miss ratio 0.3040
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d cache size      370, 1232453 req, miss ratio 0.8404, byte miss ratio 0.8404
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d cache size     1111, 1232453 req, miss ratio 0.8116, byte miss ratio 0.8116
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d cache size     3705, 1232453 req, miss ratio 0.7593, byte miss ratio 0.7593
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d cache size    11117, 1232453 req, miss ratio 0.6758, byte miss ratio 0.6758
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d cache size    37059, 1232453 req, miss ratio 0.5227, byte miss ratio 0.5227
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d cache size    74118, 1232453 req, miss ratio 0.4249, byte miss ratio 0.4249
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d cache size   148237, 1232453 req, miss ratio 0.3521, byte miss ratio 0.3521
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d cache size   296474, 1232453 req, miss ratio 0.3040, byte miss ratio 0.3040
