result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d cache size    19122, 4237023 req, miss ratio 0.1866, byte miss ratio 0.1866
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d cache size    38244, 4237023 req, miss ratio 0.1121, byte miss ratio 0.1121
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d cache size    76489, 4237023 req, miss ratio 0.0668, byte miss ratio 0.0668
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d cache size   152978, 4237023 req, miss ratio 0.0470, byte miss ratio 0.0470
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      191, 4237023 req, miss ratio 0.7832, byte miss ratio 0.7832
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      573, 4237023 req, miss ratio 0.6615, byte miss ratio 0.6615
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1912, 4237023 req, miss ratio 0.5048, byte miss ratio 0.5048
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5736, 4237023 req, miss ratio 0.3467, byte miss ratio 0.3467
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19122, 4237023 req, miss ratio 0.1832, byte miss ratio 0.1832
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    38244, 4237023 req, miss ratio 0.1136, byte miss ratio 0.1136
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    76489, 4237023 req, miss ratio 0.0746, byte miss ratio 0.0746
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   152978, 4237023 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      191, 4237023 req, miss ratio 0.7777, byte miss ratio 0.7777
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      573, 4237023 req, miss ratio 0.6625, byte miss ratio 0.6625
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1912, 4237023 req, miss ratio 0.5086, byte miss ratio 0.5086
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5736, 4237023 req, miss ratio 0.3510, byte miss ratio 0.3510
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19122, 4237023 req, miss ratio 0.2299, byte miss ratio 0.2299
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    38244, 4237023 req, miss ratio 0.1360, byte miss ratio 0.1360
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    76489, 4237023 req, miss ratio 0.0715, byte miss ratio 0.0715
result/cdn2_allcolo.ns2892.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   152978, 4237023 req, miss ratio 0.0497, byte miss ratio 0.0497
