result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   789858, 26625142 req, miss ratio 0.9901, byte miss ratio 0.9901
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2632860, 26625142 req, miss ratio 0.9897, byte miss ratio 0.9897
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  5265721, 26625142 req, miss ratio 0.9894, byte miss ratio 0.9894
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst B-LRU cache size    26328, 26625142 req, miss ratio 0.9980, byte miss ratio 0.9980
result/cdn2_allcolo.ns170.oracleGeneral.zst B-LRU cache size    78985, 26625142 req, miss ratio 0.9980, byte miss ratio 0.9980
result/cdn2_allcolo.ns170.oracleGeneral.zst B-LRU cache size   263286, 26625142 req, miss ratio 0.9980, byte miss ratio 0.9980
result/cdn2_allcolo.ns170.oracleGeneral.zst B-LRU cache size   789858, 26625142 req, miss ratio 0.9980, byte miss ratio 0.9980
result/cdn2_allcolo.ns170.oracleGeneral.zst B-LRU cache size  2632860, 26625142 req, miss ratio 0.9980, byte miss ratio 0.9980
result/cdn2_allcolo.ns170.oracleGeneral.zst B-LRU cache size  5265721, 26625142 req, miss ratio 0.9980, byte miss ratio 0.9980
result/cdn2_allcolo.ns170.oracleGeneral.zst B-LRU cache size 10531442, 26625142 req, miss ratio 0.9980, byte miss ratio 0.9980
result/cdn2_allcolo.ns170.oracleGeneral.zst B-LRU cache size 21062884, 26625142 req, miss ratio 0.9980, byte miss ratio 0.9980
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO cache size    26328, 26625142 req, miss ratio 0.9911, byte miss ratio 0.9911
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO cache size    78985, 26625142 req, miss ratio 0.9907, byte miss ratio 0.9907
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO cache size   263286, 26625142 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO cache size   789858, 26625142 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO cache size  2632860, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO cache size  5265721, 26625142 req, miss ratio 0.9891, byte miss ratio 0.9891
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d cache size    26328, 26625142 req, miss ratio 0.9911, byte miss ratio 0.9911
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d cache size    78985, 26625142 req, miss ratio 0.9907, byte miss ratio 0.9907
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d cache size   263286, 26625142 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d cache size   789858, 26625142 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d cache size  2632860, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d cache size  5265721, 26625142 req, miss ratio 0.9891, byte miss ratio 0.9891
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    26328, 26625142 req, miss ratio 0.9928, byte miss ratio 0.9928
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    78985, 26625142 req, miss ratio 0.9925, byte miss ratio 0.9925
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   263286, 26625142 req, miss ratio 0.9920, byte miss ratio 0.9920
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   789858, 26625142 req, miss ratio 0.9915, byte miss ratio 0.9915
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2632860, 26625142 req, miss ratio 0.9908, byte miss ratio 0.9908
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  5265721, 26625142 req, miss ratio 0.9904, byte miss ratio 0.9904
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 10531442, 26625142 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 21062884, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    26328, 26625142 req, miss ratio 0.9920, byte miss ratio 0.9920
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    78985, 26625142 req, miss ratio 0.9916, byte miss ratio 0.9916
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   263286, 26625142 req, miss ratio 0.9910, byte miss ratio 0.9910
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   789858, 26625142 req, miss ratio 0.9906, byte miss ratio 0.9906
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2632860, 26625142 req, miss ratio 0.9901, byte miss ratio 0.9901
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  5265721, 26625142 req, miss ratio 0.9898, byte miss ratio 0.9898
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 10531442, 26625142 req, miss ratio 0.9894, byte miss ratio 0.9894
result/cdn2_allcolo.ns170.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
