result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d-1 cache size   140894, 2066009 req, miss ratio 0.0879, byte miss ratio 0.0879
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRB cache size      176, 2066009 req, miss ratio 0.5321, byte miss ratio 0.5321
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRB cache size      528, 2066009 req, miss ratio 0.4201, byte miss ratio 0.4201
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRB cache size     1761, 2066009 req, miss ratio 0.3159, byte miss ratio 0.3159
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRB cache size     5283, 2066009 req, miss ratio 0.2496, byte miss ratio 0.2496
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRB cache size    17611, 2066009 req, miss ratio 0.2006, byte miss ratio 0.2006
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRB cache size    35223, 2066009 req, miss ratio 0.1676, byte miss ratio 0.1676
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRB cache size    70447, 2066009 req, miss ratio 0.1228, byte miss ratio 0.1228
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRB cache size   140894, 2066009 req, miss ratio 0.0888, byte miss ratio 0.0888
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      176, 2066009 req, miss ratio 0.6461, byte miss ratio 0.6461
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      528, 2066009 req, miss ratio 0.5099, byte miss ratio 0.5099
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1761, 2066009 req, miss ratio 0.3860, byte miss ratio 0.3860
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     5283, 2066009 req, miss ratio 0.2930, byte miss ratio 0.2930
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    17611, 2066009 req, miss ratio 0.2141, byte miss ratio 0.2141
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    35223, 2066009 req, miss ratio 0.1708, byte miss ratio 0.1708
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    70447, 2066009 req, miss ratio 0.1260, byte miss ratio 0.1260
result/cdn1_nyc.ns113.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   140894, 2066009 req, miss ratio 0.0928, byte miss ratio 0.0928
result/cdn1_nyc.ns113.oracleGeneral.bin.zst TwoQ cache size      176, 2066009 req, miss ratio 0.5362, byte miss ratio 0.5362
result/cdn1_nyc.ns113.oracleGeneral.bin.zst TwoQ cache size      528, 2066009 req, miss ratio 0.4244, byte miss ratio 0.4244
result/cdn1_nyc.ns113.oracleGeneral.bin.zst TwoQ cache size     1761, 2066009 req, miss ratio 0.3210, byte miss ratio 0.3210
result/cdn1_nyc.ns113.oracleGeneral.bin.zst TwoQ cache size     5283, 2066009 req, miss ratio 0.2514, byte miss ratio 0.2514
result/cdn1_nyc.ns113.oracleGeneral.bin.zst TwoQ cache size    17611, 2066009 req, miss ratio 0.1985, byte miss ratio 0.1985
