result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst TwoQ cache size     4956, 14409991 req, miss ratio 0.2004, byte miss ratio 0.2004
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst TwoQ cache size    16522, 14409991 req, miss ratio 0.1686, byte miss ratio 0.1686
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst TwoQ cache size    49566, 14409991 req, miss ratio 0.1475, byte miss ratio 0.1475
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst TwoQ cache size   165220, 14409991 req, miss ratio 0.1319, byte miss ratio 0.1319
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst TwoQ cache size   330440, 14409991 req, miss ratio 0.1250, byte miss ratio 0.1250
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst TwoQ cache size   660881, 14409991 req, miss ratio 0.1201, byte miss ratio 0.1201
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1321762, 14409991 req, miss ratio 0.1159, byte miss ratio 0.1159
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1652, 14409991 req, miss ratio 0.3302, byte miss ratio 0.3302
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     4956, 14409991 req, miss ratio 0.2267, byte miss ratio 0.2267
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    16522, 14409991 req, miss ratio 0.1805, byte miss ratio 0.1805
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    49566, 14409991 req, miss ratio 0.1533, byte miss ratio 0.1533
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   165220, 14409991 req, miss ratio 0.1322, byte miss ratio 0.1322
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   330440, 14409991 req, miss ratio 0.1236, byte miss ratio 0.1236
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   660881, 14409991 req, miss ratio 0.1174, byte miss ratio 0.1174
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1321762, 14409991 req, miss ratio 0.1150, byte miss ratio 0.1150
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst B-LRU cache size     1652, 14409991 req, miss ratio 0.3703, byte miss ratio 0.3703
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst B-LRU cache size     4956, 14409991 req, miss ratio 0.3265, byte miss ratio 0.3265
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst B-LRU cache size    16522, 14409991 req, miss ratio 0.2921, byte miss ratio 0.2921
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst B-LRU cache size    49566, 14409991 req, miss ratio 0.2670, byte miss ratio 0.2670
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst B-LRU cache size   165220, 14409991 req, miss ratio 0.2465, byte miss ratio 0.2465
