result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d cache size   598805, 38518283 req, miss ratio 0.1704, byte miss ratio 0.1704
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d cache size  1197611, 38518283 req, miss ratio 0.1652, byte miss ratio 0.1652
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d cache size  2395223, 38518283 req, miss ratio 0.1587, byte miss ratio 0.1587
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d cache size  4790446, 38518283 req, miss ratio 0.1559, byte miss ratio 0.1559
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5988, 38518283 req, miss ratio 0.4565, byte miss ratio 0.4565
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17964, 38518283 req, miss ratio 0.4203, byte miss ratio 0.4203
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    59880, 38518283 req, miss ratio 0.2593, byte miss ratio 0.2593
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   179641, 38518283 req, miss ratio 0.2042, byte miss ratio 0.2042
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   598805, 38518283 req, miss ratio 0.1730, byte miss ratio 0.1730
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1197611, 38518283 req, miss ratio 0.1684, byte miss ratio 0.1684
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2395223, 38518283 req, miss ratio 0.1639, byte miss ratio 0.1639
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  4790446, 38518283 req, miss ratio 0.1592, byte miss ratio 0.1592
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5988, 38518283 req, miss ratio 0.4448, byte miss ratio 0.4448
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17964, 38518283 req, miss ratio 0.3701, byte miss ratio 0.3701
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    59880, 38518283 req, miss ratio 0.2574, byte miss ratio 0.2574
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   179641, 38518283 req, miss ratio 0.1976, byte miss ratio 0.1976
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   598805, 38518283 req, miss ratio 0.1745, byte miss ratio 0.1745
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1197611, 38518283 req, miss ratio 0.1707, byte miss ratio 0.1707
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2395223, 38518283 req, miss ratio 0.1671, byte miss ratio 0.1671
result/tencentBlock.ns4145.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  4790446, 38518283 req, miss ratio 0.1603, byte miss ratio 0.1603
