result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    32741, 13662451 req, miss ratio 0.1257, byte miss ratio 0.1257
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   109139, 13662451 req, miss ratio 0.1044, byte miss ratio 0.1044
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   218279, 13662451 req, miss ratio 0.0968, byte miss ratio 0.0968
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   436558, 13662451 req, miss ratio 0.0897, byte miss ratio 0.0897
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   873116, 13662451 req, miss ratio 0.0826, byte miss ratio 0.0826
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1091, 13662451 req, miss ratio 0.2766, byte miss ratio 0.2766
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3274, 13662451 req, miss ratio 0.2178, byte miss ratio 0.2178
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10913, 13662451 req, miss ratio 0.1607, byte miss ratio 0.1607
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    32741, 13662451 req, miss ratio 0.1213, byte miss ratio 0.1213
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   109139, 13662451 req, miss ratio 0.1001, byte miss ratio 0.1001
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   218279, 13662451 req, miss ratio 0.0931, byte miss ratio 0.0931
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   436558, 13662451 req, miss ratio 0.0885, byte miss ratio 0.0885
result/cdn2_allcolo.ns783.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   873116, 13662451 req, miss ratio 0.0825, byte miss ratio 0.0825
