result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO cache size       70, 1724371 req, miss ratio 0.0885, byte miss ratio 0.0885
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO cache size      212, 1724371 req, miss ratio 0.0525, byte miss ratio 0.0525
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO cache size      708, 1724371 req, miss ratio 0.0245, byte miss ratio 0.0245
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO cache size     1416, 1724371 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO cache size     2832, 1724371 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO cache size     5664, 1724371 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d cache size        7, 1724371 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d cache size       21, 1724371 req, miss ratio 0.1358, byte miss ratio 0.1358
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d cache size       70, 1724371 req, miss ratio 0.0954, byte miss ratio 0.0954
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d cache size      212, 1724371 req, miss ratio 0.0527, byte miss ratio 0.0527
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d cache size      708, 1724371 req, miss ratio 0.0245, byte miss ratio 0.0245
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d cache size     1416, 1724371 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d cache size     2832, 1724371 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d cache size     5664, 1724371 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1605.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        7, 1724371 req, miss ratio 1.0000, byte miss ratio 1.0000
