result/w47.oracleGeneral.bin.zst S3FIFO-d cache size      298, 14314717 req, miss ratio 0.1595, byte miss ratio 0.1595
result/w47.oracleGeneral.bin.zst S3FIFO-d cache size      894, 14314717 req, miss ratio 0.1501, byte miss ratio 0.1501
result/w47.oracleGeneral.bin.zst S3FIFO-d cache size     2982, 14314717 req, miss ratio 0.1471, byte miss ratio 0.1471
result/w47.oracleGeneral.bin.zst S3FIFO-d cache size     8946, 14314717 req, miss ratio 0.1450, byte miss ratio 0.1450
result/w47.oracleGeneral.bin.zst S3FIFO-d cache size    29821, 14314717 req, miss ratio 0.0806, byte miss ratio 0.0806
result/w47.oracleGeneral.bin.zst S3FIFO-d cache size    59642, 14314717 req, miss ratio 0.0470, byte miss ratio 0.0470
result/w47.oracleGeneral.bin.zst S3FIFO-d cache size   119285, 14314717 req, miss ratio 0.0331, byte miss ratio 0.0331
result/w47.oracleGeneral.bin.zst S3FIFO-d cache size   238571, 14314717 req, miss ratio 0.0221, byte miss ratio 0.0221
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      298, 14314717 req, miss ratio 0.1872, byte miss ratio 0.1872
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      894, 14314717 req, miss ratio 0.1732, byte miss ratio 0.1732
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     2982, 14314717 req, miss ratio 0.1587, byte miss ratio 0.1587
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     8946, 14314717 req, miss ratio 0.1294, byte miss ratio 0.1294
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    29821, 14314717 req, miss ratio 0.0707, byte miss ratio 0.0707
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    59642, 14314717 req, miss ratio 0.0404, byte miss ratio 0.0404
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   119285, 14314717 req, miss ratio 0.0288, byte miss ratio 0.0288
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   238571, 14314717 req, miss ratio 0.0216, byte miss ratio 0.0216
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      298, 14314717 req, miss ratio 0.1655, byte miss ratio 0.1655
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      894, 14314717 req, miss ratio 0.1527, byte miss ratio 0.1527
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     2982, 14314717 req, miss ratio 0.1419, byte miss ratio 0.1419
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     8946, 14314717 req, miss ratio 0.1267, byte miss ratio 0.1267
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    29821, 14314717 req, miss ratio 0.0756, byte miss ratio 0.0756
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    59642, 14314717 req, miss ratio 0.0418, byte miss ratio 0.0418
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   119285, 14314717 req, miss ratio 0.0303, byte miss ratio 0.0303
result/w47.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   238571, 14314717 req, miss ratio 0.0228, byte miss ratio 0.0228
