result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1175, 5213615 req, miss ratio 0.5587, byte miss ratio 0.5587
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3527, 5213615 req, miss ratio 0.4899, byte miss ratio 0.4899
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11757, 5213615 req, miss ratio 0.5422, byte miss ratio 0.5422
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    35271, 5213615 req, miss ratio 0.3569, byte miss ratio 0.3569
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   117570, 5213615 req, miss ratio 0.3084, byte miss ratio 0.3084
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   235140, 5213615 req, miss ratio 0.2773, byte miss ratio 0.2773
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   470280, 5213615 req, miss ratio 0.2566, byte miss ratio 0.2566
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   940560, 5213615 req, miss ratio 0.2341, byte miss ratio 0.2341
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1175, 5213615 req, miss ratio 0.4653, byte miss ratio 0.4653
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3527, 5213615 req, miss ratio 0.4909, byte miss ratio 0.4909
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11757, 5213615 req, miss ratio 0.3839, byte miss ratio 0.3839
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    35271, 5213615 req, miss ratio 0.3535, byte miss ratio 0.3535
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   117570, 5213615 req, miss ratio 0.2878, byte miss ratio 0.2878
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   235140, 5213615 req, miss ratio 0.2653, byte miss ratio 0.2653
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   470280, 5213615 req, miss ratio 0.2434, byte miss ratio 0.2434
result/tencentBlock.ns23707.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   940560, 5213615 req, miss ratio 0.2301, byte miss ratio 0.2301
