result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d cache size      469, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        7, 1289443 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       23, 1289443 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       70, 1289443 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      234, 1289443 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      469, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        7, 1289443 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       23, 1289443 req, miss ratio 0.0902, byte miss ratio 0.0902
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       70, 1289443 req, miss ratio 0.0219, byte miss ratio 0.0219
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      234, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      469, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      938, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1877, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
