result/cdn2_allcolo.ns8937.oracleGeneral.zst TwoQ cache size    29002, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO cache size       36, 3509388 req, miss ratio 0.0121, byte miss ratio 0.0121
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO cache size      108, 3509388 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO cache size      362, 3509388 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO cache size     1087, 3509388 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO cache size     3625, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO cache size     7250, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d cache size       36, 3509388 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d cache size      108, 3509388 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d cache size      362, 3509388 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d cache size     1087, 3509388 req, miss ratio 0.0107, byte miss ratio 0.0107
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d cache size     3625, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d cache size     7250, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       36, 3509388 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      108, 3509388 req, miss ratio 0.0116, byte miss ratio 0.0116
