result/cdn2_allcolo.ns198.oracleGeneral.zst TwoQ cache size     1356, 95487082 req, miss ratio 0.6365, byte miss ratio 0.6365
result/cdn2_allcolo.ns198.oracleGeneral.zst TwoQ cache size     4069, 95487082 req, miss ratio 0.4980, byte miss ratio 0.4980
result/cdn2_allcolo.ns198.oracleGeneral.zst TwoQ cache size    13563, 95487082 req, miss ratio 0.3306, byte miss ratio 0.3306
result/cdn2_allcolo.ns198.oracleGeneral.zst TwoQ cache size    40691, 95487082 req, miss ratio 0.1911, byte miss ratio 0.1911
result/cdn2_allcolo.ns198.oracleGeneral.zst TwoQ cache size   135637, 95487082 req, miss ratio 0.0884, byte miss ratio 0.0884
result/cdn2_allcolo.ns198.oracleGeneral.zst TwoQ cache size   271275, 95487082 req, miss ratio 0.0561, byte miss ratio 0.0561
result/cdn2_allcolo.ns198.oracleGeneral.zst TwoQ cache size   542551, 95487082 req, miss ratio 0.0295, byte miss ratio 0.0295
result/cdn2_allcolo.ns198.oracleGeneral.zst TwoQ cache size  1085103, 95487082 req, miss ratio 0.0185, byte miss ratio 0.0185
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO cache size     1356, 95487082 req, miss ratio 0.6174, byte miss ratio 0.6174
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO cache size     4069, 95487082 req, miss ratio 0.4768, byte miss ratio 0.4768
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO cache size    13563, 95487082 req, miss ratio 0.3129, byte miss ratio 0.3129
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO cache size    40691, 95487082 req, miss ratio 0.1803, byte miss ratio 0.1803
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO cache size   135637, 95487082 req, miss ratio 0.0853, byte miss ratio 0.0853
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO cache size   271275, 95487082 req, miss ratio 0.0496, byte miss ratio 0.0496
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO cache size   542551, 95487082 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO cache size  1085103, 95487082 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d cache size     1356, 95487082 req, miss ratio 0.6787, byte miss ratio 0.6787
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d cache size     4069, 95487082 req, miss ratio 0.5296, byte miss ratio 0.5296
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d cache size    13563, 95487082 req, miss ratio 0.3483, byte miss ratio 0.3483
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d cache size    40691, 95487082 req, miss ratio 0.1976, byte miss ratio 0.1976
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d cache size   135637, 95487082 req, miss ratio 0.0873, byte miss ratio 0.0873
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d cache size   271275, 95487082 req, miss ratio 0.0497, byte miss ratio 0.0497
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d cache size   542551, 95487082 req, miss ratio 0.0254, byte miss ratio 0.0254
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d cache size  1085103, 95487082 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1356, 95487082 req, miss ratio 0.6138, byte miss ratio 0.6138
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4069, 95487082 req, miss ratio 0.4747, byte miss ratio 0.4747
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13563, 95487082 req, miss ratio 0.3134, byte miss ratio 0.3134
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    40691, 95487082 req, miss ratio 0.2496, byte miss ratio 0.2496
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   135637, 95487082 req, miss ratio 0.0931, byte miss ratio 0.0931
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   271275, 95487082 req, miss ratio 0.0527, byte miss ratio 0.0527
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   542551, 95487082 req, miss ratio 0.0251, byte miss ratio 0.0251
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1085103, 95487082 req, miss ratio 0.0152, byte miss ratio 0.0152
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1356, 95487082 req, miss ratio 0.6197, byte miss ratio 0.6197
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4069, 95487082 req, miss ratio 0.4790, byte miss ratio 0.4790
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13563, 95487082 req, miss ratio 0.3164, byte miss ratio 0.3164
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    40691, 95487082 req, miss ratio 0.1884, byte miss ratio 0.1884
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   135637, 95487082 req, miss ratio 0.0915, byte miss ratio 0.0915
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   271275, 95487082 req, miss ratio 0.0507, byte miss ratio 0.0507
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   542551, 95487082 req, miss ratio 0.0250, byte miss ratio 0.0250
result/cdn2_allcolo.ns198.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1085103, 95487082 req, miss ratio 0.0158, byte miss ratio 0.0158
