result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     2065, 58463439 req, miss ratio 0.2280, byte miss ratio 0.2280
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     6883, 58463439 req, miss ratio 0.1357, byte miss ratio 0.1357
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    20651, 58463439 req, miss ratio 0.0940, byte miss ratio 0.0940
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    68839, 58463439 req, miss ratio 0.0620, byte miss ratio 0.0620
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   137678, 58463439 req, miss ratio 0.0422, byte miss ratio 0.0422
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   275356, 58463439 req, miss ratio 0.0244, byte miss ratio 0.0244
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   550712, 58463439 req, miss ratio 0.0140, byte miss ratio 0.0140
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst B-LRU cache size      688, 58463439 req, miss ratio 0.3931, byte miss ratio 0.3931
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst B-LRU cache size     2065, 58463439 req, miss ratio 0.1949, byte miss ratio 0.1949
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst B-LRU cache size     6883, 58463439 req, miss ratio 0.1265, byte miss ratio 0.1265
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst B-LRU cache size    20651, 58463439 req, miss ratio 0.0955, byte miss ratio 0.0955
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst B-LRU cache size    68839, 58463439 req, miss ratio 0.0679, byte miss ratio 0.0679
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst B-LRU cache size   137678, 58463439 req, miss ratio 0.0525, byte miss ratio 0.0525
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst B-LRU cache size   275356, 58463439 req, miss ratio 0.0342, byte miss ratio 0.0342
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst B-LRU cache size   550712, 58463439 req, miss ratio 0.0240, byte miss ratio 0.0240
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      688, 58463439 req, miss ratio 0.4799, byte miss ratio 0.4799
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     2065, 58463439 req, miss ratio 0.2336, byte miss ratio 0.2336
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     6883, 58463439 req, miss ratio 0.1156, byte miss ratio 0.1156
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    20651, 58463439 req, miss ratio 0.0844, byte miss ratio 0.0844
