result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO cache size     9116, 3720288 req, miss ratio 0.0887, byte miss ratio 0.0887
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO cache size    18232, 3720288 req, miss ratio 0.0608, byte miss ratio 0.0608
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO cache size    36465, 3720288 req, miss ratio 0.0290, byte miss ratio 0.0290
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO cache size    72930, 3720288 req, miss ratio 0.0253, byte miss ratio 0.0253
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d cache size       91, 3720288 req, miss ratio 0.2095, byte miss ratio 0.2095
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d cache size      273, 3720288 req, miss ratio 0.1372, byte miss ratio 0.1372
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d cache size      911, 3720288 req, miss ratio 0.1199, byte miss ratio 0.1199
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d cache size     2734, 3720288 req, miss ratio 0.1107, byte miss ratio 0.1107
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d cache size     9116, 3720288 req, miss ratio 0.0882, byte miss ratio 0.0882
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d cache size    18232, 3720288 req, miss ratio 0.0612, byte miss ratio 0.0612
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d cache size    36465, 3720288 req, miss ratio 0.0290, byte miss ratio 0.0290
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d cache size    72930, 3720288 req, miss ratio 0.0253, byte miss ratio 0.0253
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       91, 3720288 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      273, 3720288 req, miss ratio 0.1816, byte miss ratio 0.1816
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      911, 3720288 req, miss ratio 0.1440, byte miss ratio 0.1440
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2734, 3720288 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9116, 3720288 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18232, 3720288 req, miss ratio 0.0545, byte miss ratio 0.0545
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    36465, 3720288 req, miss ratio 0.0300, byte miss ratio 0.0300
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    72930, 3720288 req, miss ratio 0.0270, byte miss ratio 0.0270
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       91, 3720288 req, miss ratio 0.2145, byte miss ratio 0.2145
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      273, 3720288 req, miss ratio 0.1402, byte miss ratio 0.1402
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      911, 3720288 req, miss ratio 0.1183, byte miss ratio 0.1183
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2734, 3720288 req, miss ratio 0.1060, byte miss ratio 0.1060
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9116, 3720288 req, miss ratio 0.0804, byte miss ratio 0.0804
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18232, 3720288 req, miss ratio 0.0503, byte miss ratio 0.0503
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    36465, 3720288 req, miss ratio 0.0298, byte miss ratio 0.0298
result/tencentBlock.ns5936.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    72930, 3720288 req, miss ratio 0.0280, byte miss ratio 0.0280
