result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    94207, 190994596 req, miss ratio 0.5673, byte miss ratio 0.5673
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   314024, 190994596 req, miss ratio 0.4618, byte miss ratio 0.4618
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   942073, 190994596 req, miss ratio 0.3471, byte miss ratio 0.3471
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  3140243, 190994596 req, miss ratio 0.2396, byte miss ratio 0.2396
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  6280487, 190994596 req, miss ratio 0.2022, byte miss ratio 0.2022
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 12560974, 190994596 req, miss ratio 0.1781, byte miss ratio 0.1781
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO cache size 25121949, 190994596 req, miss ratio 0.1656, byte miss ratio 0.1656
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    31402, 190994596 req, miss ratio 0.6158, byte miss ratio 0.6158
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    94207, 190994596 req, miss ratio 0.5667, byte miss ratio 0.5667
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   314024, 190994596 req, miss ratio 0.4708, byte miss ratio 0.4708
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   942073, 190994596 req, miss ratio 0.3314, byte miss ratio 0.3314
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  3140243, 190994596 req, miss ratio 0.2325, byte miss ratio 0.2325
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  6280487, 190994596 req, miss ratio 0.2000, byte miss ratio 0.2000
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 12560974, 190994596 req, miss ratio 0.1856, byte miss ratio 0.1856
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size 25121949, 190994596 req, miss ratio 0.1656, byte miss ratio 0.1656
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    31402, 190994596 req, miss ratio 0.6420, byte miss ratio 0.6420
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    94207, 190994596 req, miss ratio 0.6357, byte miss ratio 0.6357
