result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2311, 5103806 req, miss ratio 0.0396, byte miss ratio 0.0396
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4622, 5103806 req, miss ratio 0.0135, byte miss ratio 0.0135
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9245, 5103806 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       11, 5103806 req, miss ratio 0.9577, byte miss ratio 0.9577
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       34, 5103806 req, miss ratio 0.8750, byte miss ratio 0.8750
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      115, 5103806 req, miss ratio 0.7020, byte miss ratio 0.7020
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      346, 5103806 req, miss ratio 0.4567, byte miss ratio 0.4567
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1155, 5103806 req, miss ratio 0.1076, byte miss ratio 0.1076
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2311, 5103806 req, miss ratio 0.0395, byte miss ratio 0.0395
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4622, 5103806 req, miss ratio 0.0144, byte miss ratio 0.0144
result/cdn2_colo28.ns768.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9245, 5103806 req, miss ratio 0.0027, byte miss ratio 0.0027
