result/io_traces.ns372.oracleGeneral.zst B-LRU cache size    97523, 18400000 req, miss ratio 0.1098, byte miss ratio 0.1098
result/io_traces.ns372.oracleGeneral.zst B-LRU cache size   195047, 18400000 req, miss ratio 0.1049, byte miss ratio 0.1049
result/io_traces.ns372.oracleGeneral.zst B-LRU cache size   390094, 18400000 req, miss ratio 0.0985, byte miss ratio 0.0985
result/io_traces.ns372.oracleGeneral.zst B-LRU cache size   780188, 18400000 req, miss ratio 0.0944, byte miss ratio 0.0944
result/io_traces.ns372.oracleGeneral.zst TwoQ cache size      975, 18400000 req, miss ratio 0.6022, byte miss ratio 0.6022
result/io_traces.ns372.oracleGeneral.zst TwoQ cache size     2925, 18400000 req, miss ratio 0.5839, byte miss ratio 0.5839
result/io_traces.ns372.oracleGeneral.zst TwoQ cache size     9752, 18400000 req, miss ratio 0.5124, byte miss ratio 0.5124
result/io_traces.ns372.oracleGeneral.zst TwoQ cache size    29257, 18400000 req, miss ratio 0.2583, byte miss ratio 0.2583
result/io_traces.ns372.oracleGeneral.zst TwoQ cache size    97523, 18400000 req, miss ratio 0.0747, byte miss ratio 0.0747
result/io_traces.ns372.oracleGeneral.zst TwoQ cache size   195047, 18400000 req, miss ratio 0.0684, byte miss ratio 0.0684
result/io_traces.ns372.oracleGeneral.zst TwoQ cache size   390094, 18400000 req, miss ratio 0.0621, byte miss ratio 0.0621
result/io_traces.ns372.oracleGeneral.zst TwoQ cache size   780188, 18400000 req, miss ratio 0.0568, byte miss ratio 0.0568
result/io_traces.ns372.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      975, 18400000 req, miss ratio 0.6616, byte miss ratio 0.6616
result/io_traces.ns372.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2925, 18400000 req, miss ratio 0.6186, byte miss ratio 0.6186
result/io_traces.ns372.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9752, 18400000 req, miss ratio 0.5583, byte miss ratio 0.5583
result/io_traces.ns372.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    29257, 18400000 req, miss ratio 0.3476, byte miss ratio 0.3476
result/io_traces.ns372.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    97523, 18400000 req, miss ratio 0.0915, byte miss ratio 0.0915
