result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d cache size    92430, 31583756 req, miss ratio 0.9798, byte miss ratio 0.9798
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d cache size   308102, 31583756 req, miss ratio 0.9794, byte miss ratio 0.9794
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d cache size   924306, 31583756 req, miss ratio 0.9789, byte miss ratio 0.9789
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d cache size  3081021, 31583756 req, miss ratio 0.9780, byte miss ratio 0.9780
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d cache size  6162043, 31583756 req, miss ratio 0.9772, byte miss ratio 0.9772
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d cache size 12324087, 31583756 req, miss ratio 0.9764, byte miss ratio 0.9764
result/cdn2_colo28.ns172.oracleGeneral.zst S3FIFO-d cache size 24648175, 31583756 req, miss ratio 0.9756, byte miss ratio 0.9756
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    30810, 31583756 req, miss ratio 0.9807, byte miss ratio 0.9807
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    92430, 31583756 req, miss ratio 0.9803, byte miss ratio 0.9803
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   308102, 31583756 req, miss ratio 0.9800, byte miss ratio 0.9800
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   924306, 31583756 req, miss ratio 0.9795, byte miss ratio 0.9795
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  3081021, 31583756 req, miss ratio 0.9785, byte miss ratio 0.9785
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  6162043, 31583756 req, miss ratio 0.9777, byte miss ratio 0.9777
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 12324087, 31583756 req, miss ratio 0.9766, byte miss ratio 0.9766
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 24648175, 31583756 req, miss ratio 0.9757, byte miss ratio 0.9757
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    30810, 31583756 req, miss ratio 0.9805, byte miss ratio 0.9805
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    92430, 31583756 req, miss ratio 0.9802, byte miss ratio 0.9802
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   308102, 31583756 req, miss ratio 0.9799, byte miss ratio 0.9799
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   924306, 31583756 req, miss ratio 0.9794, byte miss ratio 0.9794
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3081021, 31583756 req, miss ratio 0.9784, byte miss ratio 0.9784
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  6162043, 31583756 req, miss ratio 0.9776, byte miss ratio 0.9776
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 12324087, 31583756 req, miss ratio 0.9767, byte miss ratio 0.9767
result/cdn2_colo28.ns172.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 24648175, 31583756 req, miss ratio 0.9757, byte miss ratio 0.9757
