result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       48, 5749960 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      160, 5749960 req, miss ratio 0.6506, byte miss ratio 0.6506
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      481, 5749960 req, miss ratio 0.5766, byte miss ratio 0.5766
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1605, 5749960 req, miss ratio 0.3841, byte miss ratio 0.3841
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     3210, 5749960 req, miss ratio 0.2510, byte miss ratio 0.2510
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     6420, 5749960 req, miss ratio 0.0923, byte miss ratio 0.0923
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    12840, 5749960 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       16, 5749960 req, miss ratio 0.8610, byte miss ratio 0.8610
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       48, 5749960 req, miss ratio 0.7220, byte miss ratio 0.7220
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      160, 5749960 req, miss ratio 0.5622, byte miss ratio 0.5622
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      481, 5749960 req, miss ratio 0.4561, byte miss ratio 0.4561
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1605, 5749960 req, miss ratio 0.3484, byte miss ratio 0.3484
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     3210, 5749960 req, miss ratio 0.2404, byte miss ratio 0.2404
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     6420, 5749960 req, miss ratio 0.0961, byte miss ratio 0.0961
result/cdn1_sjc.ns349.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    12840, 5749960 req, miss ratio 0.0042, byte miss ratio 0.0042
