result/w90.oracleGeneral.bin.zst B-LRU cache size    17700, 4493515 req, miss ratio 0.7605, byte miss ratio 0.7605
result/w90.oracleGeneral.bin.zst B-LRU cache size    59003, 4493515 req, miss ratio 0.3848, byte miss ratio 0.3848
result/w90.oracleGeneral.bin.zst B-LRU cache size   118006, 4493515 req, miss ratio 0.2777, byte miss ratio 0.2777
result/w90.oracleGeneral.bin.zst B-LRU cache size   236012, 4493515 req, miss ratio 0.2282, byte miss ratio 0.2282
result/w90.oracleGeneral.bin.zst B-LRU cache size   472024, 4493515 req, miss ratio 0.2069, byte miss ratio 0.2069
result/w90.oracleGeneral.bin.zst TwoQ cache size      590, 4493515 req, miss ratio 0.8246, byte miss ratio 0.8246
result/w90.oracleGeneral.bin.zst TwoQ cache size     1770, 4493515 req, miss ratio 0.8067, byte miss ratio 0.8067
result/w90.oracleGeneral.bin.zst TwoQ cache size     5900, 4493515 req, miss ratio 0.7765, byte miss ratio 0.7765
result/w90.oracleGeneral.bin.zst TwoQ cache size    17700, 4493515 req, miss ratio 0.7401, byte miss ratio 0.7401
result/w90.oracleGeneral.bin.zst TwoQ cache size    59003, 4493515 req, miss ratio 0.4752, byte miss ratio 0.4752
result/w90.oracleGeneral.bin.zst TwoQ cache size   118006, 4493515 req, miss ratio 0.2596, byte miss ratio 0.2596
result/w90.oracleGeneral.bin.zst TwoQ cache size   236012, 4493515 req, miss ratio 0.1906, byte miss ratio 0.1906
result/w90.oracleGeneral.bin.zst TwoQ cache size   472024, 4493515 req, miss ratio 0.1529, byte miss ratio 0.1529
result/w90.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      590, 4493515 req, miss ratio 0.8268, byte miss ratio 0.8268
result/w90.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1770, 4493515 req, miss ratio 0.8081, byte miss ratio 0.8081
result/w90.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     5900, 4493515 req, miss ratio 0.7828, byte miss ratio 0.7828
result/w90.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    17700, 4493515 req, miss ratio 0.7418, byte miss ratio 0.7418
result/w90.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    59003, 4493515 req, miss ratio 0.6675, byte miss ratio 0.6675
result/w90.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   118006, 4493515 req, miss ratio 0.4329, byte miss ratio 0.4329
result/w90.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   236012, 4493515 req, miss ratio 0.1747, byte miss ratio 0.1747
result/w90.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   472024, 4493515 req, miss ratio 0.1331, byte miss ratio 0.1331
result/w90.oracleGeneral.bin.zst S3FIFO-d cache size      590, 4493515 req, miss ratio 0.8229, byte miss ratio 0.8229
result/w90.oracleGeneral.bin.zst S3FIFO-d cache size     1770, 4493515 req, miss ratio 0.8028, byte miss ratio 0.8028
result/w90.oracleGeneral.bin.zst S3FIFO-d cache size     5900, 4493515 req, miss ratio 0.7755, byte miss ratio 0.7755
result/w90.oracleGeneral.bin.zst S3FIFO-d cache size    17700, 4493515 req, miss ratio 0.7152, byte miss ratio 0.7152
result/w90.oracleGeneral.bin.zst S3FIFO-d cache size    59003, 4493515 req, miss ratio 0.3081, byte miss ratio 0.3081
result/w90.oracleGeneral.bin.zst S3FIFO-d cache size   118006, 4493515 req, miss ratio 0.2446, byte miss ratio 0.2446
result/w90.oracleGeneral.bin.zst S3FIFO-d cache size   236012, 4493515 req, miss ratio 0.1741, byte miss ratio 0.1741
result/w90.oracleGeneral.bin.zst S3FIFO-d cache size   472024, 4493515 req, miss ratio 0.1344, byte miss ratio 0.1344
result/w90.oracleGeneral.bin.zst S3FIFO cache size      590, 4493515 req, miss ratio 0.8218, byte miss ratio 0.8218
result/w90.oracleGeneral.bin.zst S3FIFO cache size     1770, 4493515 req, miss ratio 0.8039, byte miss ratio 0.8039
result/w90.oracleGeneral.bin.zst S3FIFO cache size     5900, 4493515 req, miss ratio 0.7759, byte miss ratio 0.7759
result/w90.oracleGeneral.bin.zst S3FIFO cache size    17700, 4493515 req, miss ratio 0.7248, byte miss ratio 0.7248
result/w90.oracleGeneral.bin.zst S3FIFO cache size    59003, 4493515 req, miss ratio 0.3051, byte miss ratio 0.3051
result/w90.oracleGeneral.bin.zst S3FIFO cache size   118006, 4493515 req, miss ratio 0.2446, byte miss ratio 0.2446
result/w90.oracleGeneral.bin.zst S3FIFO cache size   236012, 4493515 req, miss ratio 0.1736, byte miss ratio 0.1736
result/w90.oracleGeneral.bin.zst S3FIFO cache size   472024, 4493515 req, miss ratio 0.1344, byte miss ratio 0.1344
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      590, 4493515 req, miss ratio 0.8327, byte miss ratio 0.8327
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1770, 4493515 req, miss ratio 0.8011, byte miss ratio 0.8011
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     5900, 4493515 req, miss ratio 0.7443, byte miss ratio 0.7443
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    17700, 4493515 req, miss ratio 0.6033, byte miss ratio 0.6033
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    59003, 4493515 req, miss ratio 0.4465, byte miss ratio 0.4465
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   118006, 4493515 req, miss ratio 0.3252, byte miss ratio 0.3252
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   236012, 4493515 req, miss ratio 0.2116, byte miss ratio 0.2116
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   472024, 4493515 req, miss ratio 0.1414, byte miss ratio 0.1414
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      590, 4493515 req, miss ratio 0.8238, byte miss ratio 0.8238
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1770, 4493515 req, miss ratio 0.8006, byte miss ratio 0.8006
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     5900, 4493515 req, miss ratio 0.7677, byte miss ratio 0.7677
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    17700, 4493515 req, miss ratio 0.7226, byte miss ratio 0.7226
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    59003, 4493515 req, miss ratio 0.4299, byte miss ratio 0.4299
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   118006, 4493515 req, miss ratio 0.3144, byte miss ratio 0.3144
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   236012, 4493515 req, miss ratio 0.2198, byte miss ratio 0.2198
result/w90.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   472024, 4493515 req, miss ratio 0.1573, byte miss ratio 0.1573
