result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     8903, 6343762 req, miss ratio 0.1804, byte miss ratio 0.1804
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    29676, 6343762 req, miss ratio 0.1414, byte miss ratio 0.1414
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    59353, 6343762 req, miss ratio 0.0963, byte miss ratio 0.0963
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   118707, 6343762 req, miss ratio 0.0695, byte miss ratio 0.0695
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   237414, 6343762 req, miss ratio 0.0503, byte miss ratio 0.0503
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      296, 6343762 req, miss ratio 0.2448, byte miss ratio 0.2448
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      890, 6343762 req, miss ratio 0.2131, byte miss ratio 0.2131
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     2967, 6343762 req, miss ratio 0.1967, byte miss ratio 0.1967
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     8903, 6343762 req, miss ratio 0.1811, byte miss ratio 0.1811
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    29676, 6343762 req, miss ratio 0.1340, byte miss ratio 0.1340
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    59353, 6343762 req, miss ratio 0.0930, byte miss ratio 0.0930
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   118707, 6343762 req, miss ratio 0.0663, byte miss ratio 0.0663
result/w74.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   237414, 6343762 req, miss ratio 0.0506, byte miss ratio 0.0506
