result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   102567, 26074680 req, miss ratio 0.4870, byte miss ratio 0.4870
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   341892, 26074680 req, miss ratio 0.3537, byte miss ratio 0.3537
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   683784, 26074680 req, miss ratio 0.2532, byte miss ratio 0.2532
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1367569, 26074680 req, miss ratio 0.1833, byte miss ratio 0.1833
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2735138, 26074680 req, miss ratio 0.1380, byte miss ratio 0.1380
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3418, 26074680 req, miss ratio 0.6389, byte miss ratio 0.6389
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10256, 26074680 req, miss ratio 0.5583, byte miss ratio 0.5583
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    34189, 26074680 req, miss ratio 0.4517, byte miss ratio 0.4517
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   102567, 26074680 req, miss ratio 0.3437, byte miss ratio 0.3437
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   341892, 26074680 req, miss ratio 0.2698, byte miss ratio 0.2698
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   683784, 26074680 req, miss ratio 0.2322, byte miss ratio 0.2322
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1367569, 26074680 req, miss ratio 0.1863, byte miss ratio 0.1863
result/tencentBlock.ns20699.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2735138, 26074680 req, miss ratio 0.1435, byte miss ratio 0.1435
