result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d cache size      304, 3994636 req, miss ratio 0.2612, byte miss ratio 0.2612
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d cache size      914, 3994636 req, miss ratio 0.2446, byte miss ratio 0.2446
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d cache size     3049, 3994636 req, miss ratio 0.2240, byte miss ratio 0.2240
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d cache size     9148, 3994636 req, miss ratio 0.2105, byte miss ratio 0.2105
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d cache size    30493, 3994636 req, miss ratio 0.1735, byte miss ratio 0.1735
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d cache size    60987, 3994636 req, miss ratio 0.1469, byte miss ratio 0.1469
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d cache size   121974, 3994636 req, miss ratio 0.1060, byte miss ratio 0.1060
result/tencentBlock.ns15458.oracleGeneral.zst S3FIFO-d cache size   243949, 3994636 req, miss ratio 0.0796, byte miss ratio 0.0796
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      304, 3994636 req, miss ratio 0.3561, byte miss ratio 0.3561
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      914, 3994636 req, miss ratio 0.2828, byte miss ratio 0.2828
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3049, 3994636 req, miss ratio 0.2228, byte miss ratio 0.2228
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9148, 3994636 req, miss ratio 0.1954, byte miss ratio 0.1954
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    30493, 3994636 req, miss ratio 0.1533, byte miss ratio 0.1533
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    60987, 3994636 req, miss ratio 0.1137, byte miss ratio 0.1137
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   121974, 3994636 req, miss ratio 0.0863, byte miss ratio 0.0863
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   243949, 3994636 req, miss ratio 0.0772, byte miss ratio 0.0772
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      304, 3994636 req, miss ratio 0.2638, byte miss ratio 0.2638
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      914, 3994636 req, miss ratio 0.2254, byte miss ratio 0.2254
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3049, 3994636 req, miss ratio 0.2156, byte miss ratio 0.2156
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9148, 3994636 req, miss ratio 0.1971, byte miss ratio 0.1971
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    30493, 3994636 req, miss ratio 0.1570, byte miss ratio 0.1570
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    60987, 3994636 req, miss ratio 0.1186, byte miss ratio 0.1186
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   121974, 3994636 req, miss ratio 0.0893, byte miss ratio 0.0893
result/tencentBlock.ns15458.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   243949, 3994636 req, miss ratio 0.0811, byte miss ratio 0.0811
