result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d cache size      879, 2140737 req, miss ratio 0.1603, byte miss ratio 0.1603
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d cache size     2638, 2140737 req, miss ratio 0.1181, byte miss ratio 0.1181
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d cache size     8795, 2140737 req, miss ratio 0.0992, byte miss ratio 0.0992
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d cache size    17591, 2140737 req, miss ratio 0.0836, byte miss ratio 0.0836
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d cache size    35183, 2140737 req, miss ratio 0.0595, byte miss ratio 0.0595
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO-d cache size    70366, 2140737 req, miss ratio 0.0425, byte miss ratio 0.0425
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO cache size       87, 2140737 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO cache size      263, 2140737 req, miss ratio 0.2208, byte miss ratio 0.2208
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO cache size      879, 2140737 req, miss ratio 0.1608, byte miss ratio 0.1608
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO cache size     2638, 2140737 req, miss ratio 0.1181, byte miss ratio 0.1181
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO cache size     8795, 2140737 req, miss ratio 0.0992, byte miss ratio 0.0992
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO cache size    17591, 2140737 req, miss ratio 0.0836, byte miss ratio 0.0836
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO cache size    35183, 2140737 req, miss ratio 0.0595, byte miss ratio 0.0595
result/tencentBlock.ns10534.oracleGeneral.zst S3FIFO cache size    70366, 2140737 req, miss ratio 0.0425, byte miss ratio 0.0425
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       87, 2140737 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      263, 2140737 req, miss ratio 0.2850, byte miss ratio 0.2850
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      879, 2140737 req, miss ratio 0.1969, byte miss ratio 0.1969
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2638, 2140737 req, miss ratio 0.1286, byte miss ratio 0.1286
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8795, 2140737 req, miss ratio 0.1027, byte miss ratio 0.1027
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17591, 2140737 req, miss ratio 0.0847, byte miss ratio 0.0847
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    35183, 2140737 req, miss ratio 0.0570, byte miss ratio 0.0570
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    70366, 2140737 req, miss ratio 0.0435, byte miss ratio 0.0435
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       87, 2140737 req, miss ratio 0.3469, byte miss ratio 0.3469
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      263, 2140737 req, miss ratio 0.2209, byte miss ratio 0.2209
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      879, 2140737 req, miss ratio 0.1512, byte miss ratio 0.1512
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2638, 2140737 req, miss ratio 0.1292, byte miss ratio 0.1292
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8795, 2140737 req, miss ratio 0.1009, byte miss ratio 0.1009
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17591, 2140737 req, miss ratio 0.0799, byte miss ratio 0.0799
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    35183, 2140737 req, miss ratio 0.0562, byte miss ratio 0.0562
result/tencentBlock.ns10534.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    70366, 2140737 req, miss ratio 0.0436, byte miss ratio 0.0436
