result/tencentBlock.ns15027.oracleGeneral.zst B-LRU cache size   154587, 3329522 req, miss ratio 0.2084, byte miss ratio 0.2084
result/tencentBlock.ns15027.oracleGeneral.zst B-LRU cache size   309175, 3329522 req, miss ratio 0.2050, byte miss ratio 0.2050
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d cache size      386, 3329522 req, miss ratio 0.4914, byte miss ratio 0.4914
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d cache size     1159, 3329522 req, miss ratio 0.3603, byte miss ratio 0.3603
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d cache size     3864, 3329522 req, miss ratio 0.2934, byte miss ratio 0.2934
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d cache size    11594, 3329522 req, miss ratio 0.2576, byte miss ratio 0.2576
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d cache size    38646, 3329522 req, miss ratio 0.2062, byte miss ratio 0.2062
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d cache size    77293, 3329522 req, miss ratio 0.1622, byte miss ratio 0.1622
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d cache size   154587, 3329522 req, miss ratio 0.1327, byte miss ratio 0.1327
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO-d cache size   309175, 3329522 req, miss ratio 0.1169, byte miss ratio 0.1169
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO cache size      386, 3329522 req, miss ratio 0.5085, byte miss ratio 0.5085
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO cache size     1159, 3329522 req, miss ratio 0.3584, byte miss ratio 0.3584
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO cache size     3864, 3329522 req, miss ratio 0.2939, byte miss ratio 0.2939
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO cache size    11594, 3329522 req, miss ratio 0.2578, byte miss ratio 0.2578
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO cache size    38646, 3329522 req, miss ratio 0.2072, byte miss ratio 0.2072
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO cache size    77293, 3329522 req, miss ratio 0.1638, byte miss ratio 0.1638
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO cache size   154587, 3329522 req, miss ratio 0.1333, byte miss ratio 0.1333
result/tencentBlock.ns15027.oracleGeneral.zst S3FIFO cache size   309175, 3329522 req, miss ratio 0.1169, byte miss ratio 0.1169
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      386, 3329522 req, miss ratio 0.6548, byte miss ratio 0.6548
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1159, 3329522 req, miss ratio 0.4116, byte miss ratio 0.4116
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3864, 3329522 req, miss ratio 0.3799, byte miss ratio 0.3799
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11594, 3329522 req, miss ratio 0.2783, byte miss ratio 0.2783
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    38646, 3329522 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    77293, 3329522 req, miss ratio 0.1715, byte miss ratio 0.1715
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   154587, 3329522 req, miss ratio 0.1433, byte miss ratio 0.1433
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   309175, 3329522 req, miss ratio 0.1239, byte miss ratio 0.1239
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      386, 3329522 req, miss ratio 0.5557, byte miss ratio 0.5557
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1159, 3329522 req, miss ratio 0.3510, byte miss ratio 0.3510
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3864, 3329522 req, miss ratio 0.2961, byte miss ratio 0.2961
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11594, 3329522 req, miss ratio 0.3091, byte miss ratio 0.3091
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    38646, 3329522 req, miss ratio 0.2131, byte miss ratio 0.2131
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    77293, 3329522 req, miss ratio 0.1660, byte miss ratio 0.1660
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   154587, 3329522 req, miss ratio 0.1357, byte miss ratio 0.1357
result/tencentBlock.ns15027.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   309175, 3329522 req, miss ratio 0.1211, byte miss ratio 0.1211
