result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO cache size    71807, 39709499 req, miss ratio 0.6171, byte miss ratio 0.6171
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO cache size   215421, 39709499 req, miss ratio 0.3659, byte miss ratio 0.3659
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO cache size   718072, 39709499 req, miss ratio 0.2850, byte miss ratio 0.2850
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO cache size  1436145, 39709499 req, miss ratio 0.2457, byte miss ratio 0.2457
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO cache size  2872290, 39709499 req, miss ratio 0.2190, byte miss ratio 0.2190
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO cache size  5744580, 39709499 req, miss ratio 0.1907, byte miss ratio 0.1907
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d cache size     7180, 39709499 req, miss ratio 0.8152, byte miss ratio 0.8152
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d cache size    21542, 39709499 req, miss ratio 0.7397, byte miss ratio 0.7397
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d cache size    71807, 39709499 req, miss ratio 0.6888, byte miss ratio 0.6888
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d cache size   215421, 39709499 req, miss ratio 0.3191, byte miss ratio 0.3191
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d cache size   718072, 39709499 req, miss ratio 0.2463, byte miss ratio 0.2463
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d cache size  1436145, 39709499 req, miss ratio 0.2361, byte miss ratio 0.2361
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d cache size  2872290, 39709499 req, miss ratio 0.2186, byte miss ratio 0.2186
result/tencentBlock.ns8937.oracleGeneral.zst S3FIFO-d cache size  5744580, 39709499 req, miss ratio 0.1907, byte miss ratio 0.1907
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7180, 39709499 req, miss ratio 0.8667, byte miss ratio 0.8667
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21542, 39709499 req, miss ratio 0.7861, byte miss ratio 0.7861
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    71807, 39709499 req, miss ratio 0.5391, byte miss ratio 0.5391
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   215421, 39709499 req, miss ratio 0.4675, byte miss ratio 0.4675
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   718072, 39709499 req, miss ratio 0.3942, byte miss ratio 0.3942
result/tencentBlock.ns8937.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1436145, 39709499 req, miss ratio 0.3438, byte miss ratio 0.3438
