result/tencentBlock.ns2982.oracleGeneral.zst B-LRU cache size    13723, 169624719 req, miss ratio 0.2103, byte miss ratio 0.2103
result/tencentBlock.ns2982.oracleGeneral.zst B-LRU cache size    41171, 169624719 req, miss ratio 0.1714, byte miss ratio 0.1714
result/tencentBlock.ns2982.oracleGeneral.zst B-LRU cache size   137238, 169624719 req, miss ratio 0.1360, byte miss ratio 0.1360
result/tencentBlock.ns2982.oracleGeneral.zst B-LRU cache size   411714, 169624719 req, miss ratio 0.1130, byte miss ratio 0.1130
result/tencentBlock.ns2982.oracleGeneral.zst B-LRU cache size  1372381, 169624719 req, miss ratio 0.1003, byte miss ratio 0.1003
result/tencentBlock.ns2982.oracleGeneral.zst B-LRU cache size  2744763, 169624719 req, miss ratio 0.0999, byte miss ratio 0.0999
result/tencentBlock.ns2982.oracleGeneral.zst B-LRU cache size  5489527, 169624719 req, miss ratio 0.0999, byte miss ratio 0.0999
result/tencentBlock.ns2982.oracleGeneral.zst B-LRU cache size 10979055, 169624719 req, miss ratio 0.0999, byte miss ratio 0.0999
result/tencentBlock.ns2982.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13723, 169624719 req, miss ratio 0.2149, byte miss ratio 0.2149
result/tencentBlock.ns2982.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    41171, 169624719 req, miss ratio 0.1850, byte miss ratio 0.1850
result/tencentBlock.ns2982.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   137238, 169624719 req, miss ratio 0.1462, byte miss ratio 0.1462
result/tencentBlock.ns2982.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   411714, 169624719 req, miss ratio 0.1169, byte miss ratio 0.1169
result/tencentBlock.ns2982.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1372381, 169624719 req, miss ratio 0.0971, byte miss ratio 0.0971
result/tencentBlock.ns2982.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2744763, 169624719 req, miss ratio 0.0893, byte miss ratio 0.0893
result/tencentBlock.ns2982.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  5489527, 169624719 req, miss ratio 0.0838, byte miss ratio 0.0838
result/tencentBlock.ns2982.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size 10979055, 169624719 req, miss ratio 0.0818, byte miss ratio 0.0818
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d cache size    13723, 169624719 req, miss ratio 0.1879, byte miss ratio 0.1879
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d cache size    41171, 169624719 req, miss ratio 0.1574, byte miss ratio 0.1574
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d cache size   137238, 169624719 req, miss ratio 0.1209, byte miss ratio 0.1209
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d cache size   411714, 169624719 req, miss ratio 0.0996, byte miss ratio 0.0996
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d cache size  1372381, 169624719 req, miss ratio 0.0929, byte miss ratio 0.0929
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d cache size  2744763, 169624719 req, miss ratio 0.0864, byte miss ratio 0.0864
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d cache size  5489527, 169624719 req, miss ratio 0.0828, byte miss ratio 0.0828
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO-d cache size 10979055, 169624719 req, miss ratio 0.0811, byte miss ratio 0.0811
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO cache size    13723, 169624719 req, miss ratio 0.1879, byte miss ratio 0.1879
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO cache size    41171, 169624719 req, miss ratio 0.1574, byte miss ratio 0.1574
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO cache size   137238, 169624719 req, miss ratio 0.1210, byte miss ratio 0.1210
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO cache size   411714, 169624719 req, miss ratio 0.0996, byte miss ratio 0.0996
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO cache size  1372381, 169624719 req, miss ratio 0.0905, byte miss ratio 0.0905
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO cache size  2744763, 169624719 req, miss ratio 0.0864, byte miss ratio 0.0864
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO cache size  5489527, 169624719 req, miss ratio 0.0828, byte miss ratio 0.0828
result/tencentBlock.ns2982.oracleGeneral.zst S3FIFO cache size 10979055, 169624719 req, miss ratio 0.0811, byte miss ratio 0.0811
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13723, 169624719 req, miss ratio 0.1875, byte miss ratio 0.1875
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    41171, 169624719 req, miss ratio 0.1658, byte miss ratio 0.1658
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   137238, 169624719 req, miss ratio 0.1194, byte miss ratio 0.1194
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   411714, 169624719 req, miss ratio 0.1003, byte miss ratio 0.1003
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1372381, 169624719 req, miss ratio 0.0911, byte miss ratio 0.0911
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2744763, 169624719 req, miss ratio 0.0884, byte miss ratio 0.0884
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  5489527, 169624719 req, miss ratio 0.0857, byte miss ratio 0.0857
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 10979055, 169624719 req, miss ratio 0.0828, byte miss ratio 0.0828
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13723, 169624719 req, miss ratio 0.1795, byte miss ratio 0.1795
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    41171, 169624719 req, miss ratio 0.1536, byte miss ratio 0.1536
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   137238, 169624719 req, miss ratio 0.1212, byte miss ratio 0.1212
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   411714, 169624719 req, miss ratio 0.0995, byte miss ratio 0.0995
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1372381, 169624719 req, miss ratio 0.0912, byte miss ratio 0.0912
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2744763, 169624719 req, miss ratio 0.0891, byte miss ratio 0.0891
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  5489527, 169624719 req, miss ratio 0.0868, byte miss ratio 0.0868
result/tencentBlock.ns2982.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 10979055, 169624719 req, miss ratio 0.0827, byte miss ratio 0.0827
